STATION,DATE,TIME,WATER_LEVEL,QUALITY,DATATRANS,COMMENT
D4N1468 ,19970715,12:00,-7.4,26,7,                                                                                                    
D4N1468 ,19970815,12:00,-7.85,26,7,                                                                                                    
D4N1468 ,19970915,12:00,-8.43,26,7,                                                                                                    
D4N1468 ,19971015,12:00,-8.01,26,7,                                                                                                    
D4N1468 ,19971031,08:40,-9.15,26,7,                                                                                                    
D4N1468 ,19980515,12:00,-13.67,26,7,                                                                                                    
D4N1468 ,19980615,12:00,-14.8,26,7,                                                                                                    
D4N1468 ,19980715,12:00,-14.85,26,7,                                                                                                    
D4N1468 ,19981130,12:00,-15.93,26,7,                                                                                                    
D4N1468 ,19990215,12:00,-15.93,26,7,                                                                                                    
D4N1468 ,19990315,12:00,-19.12,26,7,                                                                                                    
D4N1468 ,19990415,12:00,-15.9,26,7,                                                                                                    
D4N1468 ,19990515,12:00,-20.65,26,7,                                                                                                    
D4N1468 ,19990606,12:00,-22.8,26,7,                                                                                                    
D4N1468 ,20000201,12:00,-7.27,26,7,                                                                                                    
D4N1468 ,20000503,12:00,-9.24,26,7,                                                                                                    
D4N1468 ,20000830,12:00,-9.31,26,7,                                                                                                    
D4N1468 ,20000917,12:00,-8.46,26,7,                                                                                                    
D4N1468 ,20001030,12:00,-10.65,26,7,                                                                                                    
D4N1468 ,20010715,12:00,-7.47,26,7,                                                                                                    
D4N1468 ,20010816,12:00,-7.45,26,7,                                                                                                    
D4N1468 ,20011023,12:00,-7.5,26,7,                                                                                                    
D4N1468 ,20011121,12:00,-8.98,26,7,                                                                                                    
D4N1468 ,20011222,12:00,-8.88,26,7,                                                                                                    
D4N1468 ,20020122,12:00,-8.7,26,7,                                                                                                    
D4N1468 ,20020304,12:00,-5.8,26,7,                                                                                                    
D4N1468 ,20020404,12:00,-5.8,26,7,                                                                                                    
D4N1468 ,20020516,12:00,-7.26,26,7,                                                                                                    
D4N1468 ,20020717,12:00,-8.33,26,7,                                                                                                    
D4N1468 ,20020821,12:00,-8.33,26,7,                                                                                                    
D4N1468 ,20021002,12:00,-3.38,26,7,                                                                                                    
D4N1468 ,20021107,12:00,-10.04,26,7,                                                                                                    
D4N1468 ,20021115,12:00,-8.89,26,7,                                                                                                    
D4N1468 ,20021215,12:00,-8.98,26,7,                                                                                                    
D4N1468 ,20030115,12:00,-8.35,26,7,                                                                                                    
D4N1468 ,20030315,12:00,-11.6,26,7,                                                                                                    
D4N1468 ,20030415,12:00,-12.86,26,7,                                                                                                    
D4N1468 ,20030515,12:00,-12.86,26,7,                                                                                                    
D4N1468 ,20030615,12:00,-12.9,26,7,                                                                                                    
D4N1468 ,20030815,12:00,-12.9,26,7,                                                                                                    
D4N1468 ,20030915,12:00,-12.93,26,7,                                                                                                    
D4N1468 ,20031015,12:00,-12.93,26,7,                                                                                                    
D4N1468 ,20031115,12:00,-12.9,26,7,                                                                                                    
D4N1468 ,20040115,12:00,-12.9,26,7,                                                                                                    
D4N1468 ,20040215,12:00,-12.92,26,7,                                                                                                    
D4N1468 ,20040315,12:00,-12.92,26,7,                                                                                                    
D4N1468 ,20040415,12:00,-12.9,26,7,                                                                                                    
D4N1468 ,20040615,12:00,-12.92,26,7,                                                                                                    
D4N1468 ,20040715,12:00,-12.97,26,7,                                                                                                    
D4N1468 ,20040815,12:00,-13.56,26,7,                                                                                                    
D4N1468 ,20040915,12:00,-13.58,26,7,                                                                                                    
D4N1468 ,20041015,12:00,-18.61,26,7,                                                                                                    
D4N1468 ,20041215,12:00,-18.57,26,7,                                                                                                    
D4N1468 ,20050115,12:01,-18.6,26,7,                                                                                                    
D4N1468 ,20110128,11:35,-13.4,26,7,                                                                                                    
D4N1468 ,20110407,13:40,-8.18,26,7,                                                                                                    
D4N1468 ,20110411,11:55,-18.17,26,7,                                                                                                    
D4N1468 ,20110527,11:47,-18.17,26,7,                                                                                                    
D4N1468 ,20110815,08:00,-18.18,26,7,                                                                                                    
D4N1468 ,20111026,11:03,-18.2,26,7,                                                                                                    
D4N1468 ,20120119,13:03,-10.72,26,7,                                                                                                    
D4N1468 ,20120227,09:30,-10.71,26,7,                                                                                                    
D4N1468 ,20120419,08:00,-10.73,26,7,                                                                                                    
D4N1468 ,20120619,13:09,-12.92,26,7,                                                                                                    
D4N1468 ,20120724,12:58,-12.92,26,7,                                                                                                    
D4N1468 ,20121019,08:00,-19.95,26,7,                                                                                                    
D4N1468 ,20121123,11:32,-19.97,26,7,                                                                                                    
D4N1468 ,20130130,03:30,-15.55,26,7,                                                                                                    
D4N1468 ,20130425,14:28,-15.76,26,7,                                                                                                    
D4N1468 ,20140204,13:19,-17.66,26,7,                                                                                                    
D4N1468 ,20140424,14:10,-15.77,26,7,                                                                                                    
D4N1468 ,20140521,11:45,-15.79,26,7,                                                                                                    
D4N1468 ,20140730,14:03,-15.28,26,7,                                                                                                    
D4N1468 ,20140930,14:24,-15.97,26,7,                                                                                                    
D4N1468 ,20150304,14:07,-17.49,26,7,                                                                                                    
D4N1468 ,20150506,13:41,-17.93,26,7,                                                                                                    
D4N1468 ,20150624,13:15,-18.24,26,7,                                                                                                    
D4N1468 ,20150827,11:17,-18.73,26,7,12/11/2015 No entry                                                                                 
D4N1468 ,20160510,11:20,-20.21,26,7,                                                                                                    
D4N1468 ,20161130,16:56,-21.19,26,7,                                                                                                    
D4N1468 ,20161219,14:20,-21.19,26,7,                                                                                                    
D4N1468 ,20170126,13:28,-21.17,26,7,                                                                                                    
D4N1468 ,20170314,14:17,-8.33,26,7,                                                                                                    
D4N1468 ,20170421,14:20,-7.5,26,7,                                                                                                    
D4N1468 ,20170607,11:22,-8.25,26,7,                                                                                                    
D4N1468 ,20170831,09:17,-10,26,7,                                                                                                    
D4N1468 ,20180222,13:28,-13.62,26,7,                                                                                                    
D4N1468 ,20180531,13:54,-13.19,26,7,                                                                                                    
D4N1468 ,20180815,09:19,-14.74,26,7,                                                                                                    
