"Monitoring Point ID","Monitoring Point Name","Latitude","Longitude","Located on Feature Name","Located on Type","Drainage Region Name","Feature Reference Code","Monitoring Active","Sample Start Date","Sample Start Time","Sample End Date","Sample End Time","Time Interval","Sample Start Depth","Sample End Depth","Depth Interval","Preservative","Action Type","ASAR-Diss-Water (ADJUSTED SODIUM ADSORPTION RATIO) (null) Result","ASAR-Diss-Water (ADJUSTED SODIUM ADSORPTION RATIO) (null) Detection Limit","ASAR-Diss-Water (ADJUSTED SODIUM ADSORPTION RATIO) (null) Greater Than","CORR-Diss-Water (CORROSIVITY INDEX) (null) Result","CORR-Diss-Water (CORROSIVITY INDEX) (null) Detection Limit","CORR-Diss-Water (CORROSIVITY INDEX) (null) Greater Than","Ca-Diss-Water (CALCIUM) (mg/L) Result","Ca-Diss-Water (CALCIUM) (mg/L) Detection Limit","Ca-Diss-Water (CALCIUM) (mg/L) Greater Than","Cl-Diss-Water (CHLORIDE) (mg/L) Result","Cl-Diss-Water (CHLORIDE) (mg/L) Detection Limit","Cl-Diss-Water (CHLORIDE) (mg/L) Greater Than","DMS-Tot-Water (DISSOLVED MAJOR SALTS) (mg/L) Result","DMS-Tot-Water (DISSOLVED MAJOR SALTS) (mg/L) Detection Limit","DMS-Tot-Water (DISSOLVED MAJOR SALTS) (mg/L) Greater Than","EC-Phys-Water (ELECTRICAL CONDUCTIVITY) (mS/m) Result","EC-Phys-Water (ELECTRICAL CONDUCTIVITY) (mS/m) Detection Limit","EC-Phys-Water (ELECTRICAL CONDUCTIVITY) (mS/m) Greater Than","F-Diss-Water (FLUORIDE) (mg/L) Result","F-Diss-Water (FLUORIDE) (mg/L) Detection Limit","F-Diss-Water (FLUORIDE) (mg/L) Greater Than","HARD-Mg-Calc-Water (HARDNESS MAGNESIUM CALCULATED) (mg/L) Result","HARD-Mg-Calc-Water (HARDNESS MAGNESIUM CALCULATED) (mg/L) Detection Limit","HARD-Mg-Calc-Water (HARDNESS MAGNESIUM CALCULATED) (mg/L) Greater Than","HARD-Tot-Water (HARDNESS AS CACO3 CALCULATED) (mg/L) Result","HARD-Tot-Water (HARDNESS AS CACO3 CALCULATED) (mg/L) Detection Limit","HARD-Tot-Water (HARDNESS AS CACO3 CALCULATED) (mg/L) Greater Than","K-Diss-Water (POTASSIUM) (mg/L) Result","K-Diss-Water (POTASSIUM) (mg/L) Detection Limit","K-Diss-Water (POTASSIUM) (mg/L) Greater Than","KJEL N-Tot-Water (KJELDAHL NITROGEN) (mg/L) Result","KJEL N-Tot-Water (KJELDAHL NITROGEN) (mg/L) Detection Limit","KJEL N-Tot-Water (KJELDAHL NITROGEN) (mg/L) Greater Than","LANGL-Index-Water (LANGLIER INDEX) (null) Result","LANGL-Index-Water (LANGLIER INDEX) (null) Detection Limit","LANGL-Index-Water (LANGLIER INDEX) (null) Greater Than","Mg-Diss-Water (MAGNESIUM) (mg/L) Result","Mg-Diss-Water (MAGNESIUM) (mg/L) Detection Limit","Mg-Diss-Water (MAGNESIUM) (mg/L) Greater Than","NH3(25)-Union-Diss-W (AMMONIA UN-IONISED 25 °C) (mg/L) Result","NH3(25)-Union-Diss-W (AMMONIA UN-IONISED 25 °C) (mg/L) Detection Limit","NH3(25)-Union-Diss-W (AMMONIA UN-IONISED 25 °C) (mg/L) Greater Than","NH4-N-Diss-Water (AMMONIUM NITROGEN) (mg/L) Result","NH4-N-Diss-Water (AMMONIUM NITROGEN) (mg/L) Detection Limit","NH4-N-Diss-Water (AMMONIUM NITROGEN) (mg/L) Greater Than","NO3+NO2-N-Diss-Water (NITRATE + NITRITE NITROGEN) (mg/L) Result","NO3+NO2-N-Diss-Water (NITRATE + NITRITE NITROGEN) (mg/L) Detection Limit","NO3+NO2-N-Diss-Water (NITRATE + NITRITE NITROGEN) (mg/L) Greater Than","Na-Diss-Water (SODIUM) (mg/L) Result","Na-Diss-Water (SODIUM) (mg/L) Detection Limit","Na-Diss-Water (SODIUM) (mg/L) Greater Than","P-Tot-Water (TOTAL PHOSPHORUS) (mg/L) Result","P-Tot-Water (TOTAL PHOSPHORUS) (mg/L) Detection Limit","P-Tot-Water (TOTAL PHOSPHORUS) (mg/L) Greater Than","PO4-P-Diss-Water (ORTHO PHOSPHATE AS PHOSPHORUS) (mg/L) Result","PO4-P-Diss-Water (ORTHO PHOSPHATE AS PHOSPHORUS) (mg/L) Detection Limit","PO4-P-Diss-Water (ORTHO PHOSPHATE AS PHOSPHORUS) (mg/L) Greater Than","RYZNAR-Index-Water (RYZNAR) (null) Result","RYZNAR-Index-Water (RYZNAR) (null) Detection Limit","RYZNAR-Index-Water (RYZNAR) (null) Greater Than","SAR-Diss-Water (SODIUM ADSORPTION RATIO) (null) Result","SAR-Diss-Water (SODIUM ADSORPTION RATIO) (null) Detection Limit","SAR-Diss-Water (SODIUM ADSORPTION RATIO) (null) Greater Than","SO4-Diss-Water (SULPHATE) (mg/L) Result","SO4-Diss-Water (SULPHATE) (mg/L) Detection Limit","SO4-Diss-Water (SULPHATE) (mg/L) Greater Than","SO4Ion/MajAnions-Wat (SULPHATE ION TO MAJOR ANION RATIO) (null) Result","SO4Ion/MajAnions-Wat (SULPHATE ION TO MAJOR ANION RATIO) (null) Detection Limit","SO4Ion/MajAnions-Wat (SULPHATE ION TO MAJOR ANION RATIO) (null) Greater Than","SO4Ion/TotAnions-Wat (SULPHATE ION TO TOTAL ANION RATIO) (null) Result","SO4Ion/TotAnions-Wat (SULPHATE ION TO TOTAL ANION RATIO) (null) Detection Limit","SO4Ion/TotAnions-Wat (SULPHATE ION TO TOTAL ANION RATIO) (null) Greater Than","Si-Diss-Water (SILICON) (mg/L) Result","Si-Diss-Water (SILICON) (mg/L) Detection Limit","Si-Diss-Water (SILICON) (mg/L) Greater Than","TAL-Diss-Water (TOTAL ALKALINITY AS CALCIUM CARBONATE) (mg/L) Result","TAL-Diss-Water (TOTAL ALKALINITY AS CALCIUM CARBONATE) (mg/L) Detection Limit","TAL-Diss-Water (TOTAL ALKALINITY AS CALCIUM CARBONATE) (mg/L) Greater Than","pH-Diss-Water (PH) (pH units) Result","pH-Diss-Water (PH) (pH units) Detection Limit","pH-Diss-Water (PH) (pH units) Greater Than","pHs-Calc-Water (PH AT SATURATION WITH RESPECT TO CACO3) (null) Result","pHs-Calc-Water (PH AT SATURATION WITH RESPECT TO CACO3) (null) Detection Limit","pHs-Calc-Water (PH AT SATURATION WITH RESPECT TO CACO3) (null) Greater Than","NO2-N-Diss-Water (NITRITE NITROGEN) (mg/L) Result","NO2-N-Diss-Water (NITRITE NITROGEN) (mg/L) Detection Limit","NO2-N-Diss-Water (NITRITE NITROGEN) (mg/L) Greater Than","N-Tot-Calc-Water (TOTAL NITROGEN CALCULATED) (mg/L) Result","N-Tot-Calc-Water (TOTAL NITROGEN CALCULATED) (mg/L) Detection Limit","N-Tot-Calc-Water (TOTAL NITROGEN CALCULATED) (mg/L) Greater Than"
"84961","2525DB00395 TWEEFONTEIN UPPER (A1G003) - WR70","-25.5454","25.9408","2525DB00395 TWEEFONTEIN UPPER (A1H003) - WR70","Spring/Eye","A10A","","No","2007-11-17","10:00:00","","","0","","","","HGCL2","Sample","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.025","","","","","","","","","","","","","","","","","","","","","","",""
"84962","2525DB00394 TWEEFONTEIN LOWER (A1H004) - WR59","-25.5441","25.9456","2525DB00394 TWEEFONTEIN LOWER (A1H004) - WR59","Spring/Eye","A10A","","No","2007-11-17","10:00:00","","","","","","","HGCL2","Sample","","","","","","","53.612","1","","5.453","4","","","","","","","","0.05","0.1","","","","","","","","0.305","0.3","","","","","","","","29.229","1","","","","","0.103","0.04","","0.433","0.08","","4.644","2","","","","","0.006","0.011","","","","","","","","4.8","4","","","","","","","","5.98","0.8","","249.202","8","","8.409","2","","","","","","","","","",""
"84962","2525DB00394 TWEEFONTEIN LOWER (A1H004) - WR59","-25.5441","25.9456","2525DB00394 TWEEFONTEIN LOWER (A1H004) - WR59","Spring/Eye","A10A","","No","2007-11-17","10:00:00","","","0","","","","HGCL2","Sample","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.019","","","","","","","","","","","","","","","","","","","",""
"84962","2525DB00394 TWEEFONTEIN LOWER (A1H004) - WR59","-25.5441","25.9456","2525DB00394 TWEEFONTEIN LOWER (A1H004) - WR59","Spring/Eye","A10A","","No","2007-11-17","10:00:00","","","","","","","HGCL2","Sample","0.289","","","0.051","","","","","","","","","404.002","","","46","0.1","","","","","101.396","","","254.251","","","","","","","","","1.095","","","","","","0.014","","","","","","","","","","","","","","","","","","6.219","","","0.127","","","","","","","","","","","","","","","","","","","","","7.314","","","","","","","",""
"84962","2525DB00394 TWEEFONTEIN LOWER (A1H004) - WR59","-25.5441","25.9456","2525DB00394 TWEEFONTEIN LOWER (A1H004) - WR59","Spring/Eye","A10A","","No","2007-11-17","10:00:00","","","0","","","","HGCL2","Sample","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.019","","","","","","","","","","","","","","","","","","","","","","",""
"88621","ZQMBM40 MALMANIELOOP LOWER EYE AT PAARDENVALLEI","-25.633333","25.995833","","","A31D","","No","1994-05-31","14:30:00","","","","0","","","NOT APPLICABLE","Sample","0.124","","","0.06","","","","","","","","","","","","","","","","","","139.107","","","333.452","","","","","","","","","0.065","","","","","","0.001","","","","","","","","","","","","","","","","","","7.181","","","","","","","","","","","","","","","","","","","","","","","","7.115","","","","","","","",""
"88621","ZQMBM40 MALMANIELOOP LOWER EYE AT PAARDENVALLEI","-25.633333","25.995833","","","A31D","","No","1994-05-31","14:30:00","","","","0","","","HGCL2","Sample","","","","","","","67.4","1","","4.6","3","","519","1","","58.3","1","","0.22","0.1","","","","","","","","0.15","0.3","","","","","","","","40.1","1","","","","","0.077","0.04","","0.156","0.04","","2.2","2","","","","","0.02","0.005","","","","","0.05","0","","12.3","4","","","","","","","","7.34","0.4","","320.9","4","","7.9","2","","","","","","","","","",""
"88622","ZQMBM41 TWEEFONTEIN LOWER EYE AT TWEEFONTEIN","-25.541667","25.945833","ZQMBM41 LOWER TWEEFONTEIN EYE","Spring/Eye","A10A","","No","1994-05-31","16:00:00","","","","0","","","NOT APPLICABLE","Sample","0.091","","","0.043","","","","","","","","","","","","","","","","","","103.376","","","250.08","","","","","","","","","0.882","","","","","","0.007","","","","","","","","","","","","","","","","","","6.455","","","","","","","","","","","","","","","","","","","","","","","","7.338","","","","","","","",""
"88622","ZQMBM41 TWEEFONTEIN LOWER EYE AT TWEEFONTEIN","-25.541667","25.945833","ZQMBM41 LOWER TWEEFONTEIN EYE","Spring/Eye","A10A","","No","1994-05-31","16:00:00","","","","0","","","HGCL2","Sample","","","","","","","51","1","","4.1","3","","395","1","","44.8","1","","0.17","0.1","","","","","","","","0.15","0.3","","","","","","","","29.8","1","","","","","0.07","0.04","","0.463","0.04","","1","2","","","","","0.017","0.005","","","","","0.04","0","","4.7","4","","","","","","","","6.04","0.4","","247.4","4","","8.22","2","","","","","","","","","",""
"88626","ZQMBM45 TWEEFONTEIN UPPER EYE AT TWEEFONTEIN","-25.545833","25.941667","ZQMBM45 UPPER TWEEFONTEIN EYE","Spring/Eye","A10A","","No","1994-05-31","16:30:00","","","","0","","","NOT APPLICABLE","Sample","0.083","","","0.051","","","","","","","","","","","","","","","","","","84.644","","","200.872","","","","","","","","","-0.064","","","","","","0.001","","","","","","","","","","","","","","","","","","7.599","","","","","","","","","","","","","","","","","","","","","","","","7.534","","","","","","","",""
"88626","ZQMBM45 TWEEFONTEIN UPPER EYE AT TWEEFONTEIN","-25.545833","25.941667","ZQMBM45 UPPER TWEEFONTEIN EYE","Spring/Eye","A10A","","No","1994-05-31","16:30:00","","","","0","","","HGCL2","Sample","","","","","","","40.2","1","","3.6","3","","316","1","","34.2","1","","0.19","0.1","","","","","","","","0.15","0.3","","","","","","","","24.4","1","","","","","0.065","0.04","","0.839","0.04","","1","2","","","","","0.019","0.005","","","","","0.04","0","","4.7","4","","","","","","","","5.34","0.4","","195.2","4","","7.47","2","","","","","","","","","",""
"88627","ZQMBM46 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991667","","","A31D","","No","1994-05-31","10:00:00","","","","0","","","HGCL2","Sample","0.143","","","0.052","","","57.6","1","","5.2","3","","464","1","","49.1","1","","0.2","0.1","","127.313","","","294.977","","","0.15","0.3","","","","","0.843","","","36.7","1","","0.006","","","0.087","0.04","","0.983","0.04","","2.2","2","","","","","0.021","0.005","","6.384","","","0.06","0","","7.3","4","","","","","","","","7.82","0.4","","287.1","4","","8.07","2","","7.227","","","","","","","",""
"89822","ZQMZRS1 2526CA00989 ZEERUST-LOTTERINGSKRAAL","-25.540833","26.079722","ZQMZRS1 ZEERUST                                                                                     ","Borehole","A31D","","No","1996-07-08","15:30:00","","","","0","","","HGCL2","Sample","0.046","","","0.584","","","2.7","1","","3.9","3","","32","1","","3.5","1","","0.05","0.1","","4.857","","","12.508","","","0.64","0.3","","","","","-3.854","","","1.4","1","","0","","","0.02","0.04","","0.328","0.04","","1","2","","","","","0.009","0.005","","13.638","","","0.23","0","","2","4","","","","","","","","6.83","0.4","","13","4","","5.93","2","","9.78","","","","","","","",""
