"Monitoring Point ID","Monitoring Point Name","Latitude","Longitude","Located on Feature Name","Located on Type","Drainage Region Name","Feature Reference Code","Monitoring Active","Sample Start Date","Sample Start Time","Sample End Date","Sample End Time","Time Interval","Sample Start Depth","Sample End Depth","Depth Interval","Preservative","Action Type","ASAR-Diss-Water (ADJUSTED SODIUM ADSORPTION RATIO) (null) Result","ASAR-Diss-Water (ADJUSTED SODIUM ADSORPTION RATIO) (null) Detection Limit","ASAR-Diss-Water (ADJUSTED SODIUM ADSORPTION RATIO) (null) Greater Than","CORR-Diss-Water (CORROSIVITY INDEX) (null) Result","CORR-Diss-Water (CORROSIVITY INDEX) (null) Detection Limit","CORR-Diss-Water (CORROSIVITY INDEX) (null) Greater Than","Ca-Diss-Water (CALCIUM) (mg/L) Result","Ca-Diss-Water (CALCIUM) (mg/L) Detection Limit","Ca-Diss-Water (CALCIUM) (mg/L) Greater Than","Cl-Diss-Water (CHLORIDE) (mg/L) Result","Cl-Diss-Water (CHLORIDE) (mg/L) Detection Limit","Cl-Diss-Water (CHLORIDE) (mg/L) Greater Than","DMS-Tot-Water (DISSOLVED MAJOR SALTS) (mg/L) Result","DMS-Tot-Water (DISSOLVED MAJOR SALTS) (mg/L) Detection Limit","DMS-Tot-Water (DISSOLVED MAJOR SALTS) (mg/L) Greater Than","EC-Phys-Water (ELECTRICAL CONDUCTIVITY) (mS/m) Result","EC-Phys-Water (ELECTRICAL CONDUCTIVITY) (mS/m) Detection Limit","EC-Phys-Water (ELECTRICAL CONDUCTIVITY) (mS/m) Greater Than","F-Diss-Water (FLUORIDE) (mg/L) Result","F-Diss-Water (FLUORIDE) (mg/L) Detection Limit","F-Diss-Water (FLUORIDE) (mg/L) Greater Than","HARD-Mg-Calc-Water (HARDNESS MAGNESIUM CALCULATED) (mg/L) Result","HARD-Mg-Calc-Water (HARDNESS MAGNESIUM CALCULATED) (mg/L) Detection Limit","HARD-Mg-Calc-Water (HARDNESS MAGNESIUM CALCULATED) (mg/L) Greater Than","HARD-Tot-Water (HARDNESS AS CACO3 CALCULATED) (mg/L) Result","HARD-Tot-Water (HARDNESS AS CACO3 CALCULATED) (mg/L) Detection Limit","HARD-Tot-Water (HARDNESS AS CACO3 CALCULATED) (mg/L) Greater Than","K-Diss-Water (POTASSIUM) (mg/L) Result","K-Diss-Water (POTASSIUM) (mg/L) Detection Limit","K-Diss-Water (POTASSIUM) (mg/L) Greater Than","KJEL N-Tot-Water (KJELDAHL NITROGEN) (mg/L) Result","KJEL N-Tot-Water (KJELDAHL NITROGEN) (mg/L) Detection Limit","KJEL N-Tot-Water (KJELDAHL NITROGEN) (mg/L) Greater Than","LANGL-Index-Water (LANGLIER INDEX) (null) Result","LANGL-Index-Water (LANGLIER INDEX) (null) Detection Limit","LANGL-Index-Water (LANGLIER INDEX) (null) Greater Than","Mg-Diss-Water (MAGNESIUM) (mg/L) Result","Mg-Diss-Water (MAGNESIUM) (mg/L) Detection Limit","Mg-Diss-Water (MAGNESIUM) (mg/L) Greater Than","NH3(25)-Union-Diss-W (AMMONIA UN-IONISED 25 °C) (mg/L) Result","NH3(25)-Union-Diss-W (AMMONIA UN-IONISED 25 °C) (mg/L) Detection Limit","NH3(25)-Union-Diss-W (AMMONIA UN-IONISED 25 °C) (mg/L) Greater Than","NH4-N-Diss-Water (AMMONIUM NITROGEN) (mg/L) Result","NH4-N-Diss-Water (AMMONIUM NITROGEN) (mg/L) Detection Limit","NH4-N-Diss-Water (AMMONIUM NITROGEN) (mg/L) Greater Than","NO3+NO2-N-Diss-Water (NITRATE + NITRITE NITROGEN) (mg/L) Result","NO3+NO2-N-Diss-Water (NITRATE + NITRITE NITROGEN) (mg/L) Detection Limit","NO3+NO2-N-Diss-Water (NITRATE + NITRITE NITROGEN) (mg/L) Greater Than","Na-Diss-Water (SODIUM) (mg/L) Result","Na-Diss-Water (SODIUM) (mg/L) Detection Limit","Na-Diss-Water (SODIUM) (mg/L) Greater Than","P-Tot-Water (TOTAL PHOSPHORUS) (mg/L) Result","P-Tot-Water (TOTAL PHOSPHORUS) (mg/L) Detection Limit","P-Tot-Water (TOTAL PHOSPHORUS) (mg/L) Greater Than","PO4-P-Diss-Water (ORTHO PHOSPHATE AS PHOSPHORUS) (mg/L) Result","PO4-P-Diss-Water (ORTHO PHOSPHATE AS PHOSPHORUS) (mg/L) Detection Limit","PO4-P-Diss-Water (ORTHO PHOSPHATE AS PHOSPHORUS) (mg/L) Greater Than","RYZNAR-Index-Water (RYZNAR) (null) Result","RYZNAR-Index-Water (RYZNAR) (null) Detection Limit","RYZNAR-Index-Water (RYZNAR) (null) Greater Than","SAR-Diss-Water (SODIUM ADSORPTION RATIO) (null) Result","SAR-Diss-Water (SODIUM ADSORPTION RATIO) (null) Detection Limit","SAR-Diss-Water (SODIUM ADSORPTION RATIO) (null) Greater Than","SO4-Diss-Water (SULPHATE) (mg/L) Result","SO4-Diss-Water (SULPHATE) (mg/L) Detection Limit","SO4-Diss-Water (SULPHATE) (mg/L) Greater Than","SO4Ion/MajAnions-Wat (SULPHATE ION TO MAJOR ANION RATIO) (null) Result","SO4Ion/MajAnions-Wat (SULPHATE ION TO MAJOR ANION RATIO) (null) Detection Limit","SO4Ion/MajAnions-Wat (SULPHATE ION TO MAJOR ANION RATIO) (null) Greater Than","SO4Ion/TotAnions-Wat (SULPHATE ION TO TOTAL ANION RATIO) (null) Result","SO4Ion/TotAnions-Wat (SULPHATE ION TO TOTAL ANION RATIO) (null) Detection Limit","SO4Ion/TotAnions-Wat (SULPHATE ION TO TOTAL ANION RATIO) (null) Greater Than","Si-Diss-Water (SILICON) (mg/L) Result","Si-Diss-Water (SILICON) (mg/L) Detection Limit","Si-Diss-Water (SILICON) (mg/L) Greater Than","TAL-Diss-Water (TOTAL ALKALINITY AS CALCIUM CARBONATE) (mg/L) Result","TAL-Diss-Water (TOTAL ALKALINITY AS CALCIUM CARBONATE) (mg/L) Detection Limit","TAL-Diss-Water (TOTAL ALKALINITY AS CALCIUM CARBONATE) (mg/L) Greater Than","pH-Diss-Water (PH) (pH units) Result","pH-Diss-Water (PH) (pH units) Detection Limit","pH-Diss-Water (PH) (pH units) Greater Than","pHs-Calc-Water (PH AT SATURATION WITH RESPECT TO CACO3) (null) Result","pHs-Calc-Water (PH AT SATURATION WITH RESPECT TO CACO3) (null) Detection Limit","pHs-Calc-Water (PH AT SATURATION WITH RESPECT TO CACO3) (null) Greater Than","NO2-N-Diss-Water (NITRITE NITROGEN) (mg/L) Result","NO2-N-Diss-Water (NITRITE NITROGEN) (mg/L) Detection Limit","NO2-N-Diss-Water (NITRITE NITROGEN) (mg/L) Greater Than","N-Tot-Calc-Water (TOTAL NITROGEN CALCULATED) (mg/L) Result","N-Tot-Calc-Water (TOTAL NITROGEN CALCULATED) (mg/L) Detection Limit","N-Tot-Calc-Water (TOTAL NITROGEN CALCULATED) (mg/L) Greater Than"
"90109","ZQMMLO1 2525CD00053 DE DAM VAN METSUGO MOLOPO-MADIBE","-25.405278","25.931944","ZQMMLO1 DE DAM VAN METSUGO MOLOPO                                                                   ","Borehole","A31H","","No","2015-05-22","08:30:00","","","","","","","HGCL2","Sample","","","","0.416","","","47.487","2.5","","68.98","2","","","","","78","1","","0.522","0.1","","","","","","","","2.009","1","","","","","","","","","","","0.001","","","0.05","0.1","","8.595","0.1","","90.178","3","","","","","0.01","0.02","","","","","","","","12.57","1.2","","0.035","","","0.032","","","22.364","1","","265.769","10","","7.646","2","","","","","","","","","",""
"90109","ZQMMLO1 2525CD00053 DE DAM VAN METSUGO MOLOPO-MADIBE","-25.405278","25.931944","ZQMMLO1 DE DAM VAN METSUGO MOLOPO                                                                   ","Borehole","A31H","","No","2015-09-23","10:42:00","","","","","","","HGCL2","Sample","5.538","","","0.551","","","46.802","2.5","","92.613","1","","652.679","","","76.3","1","","0.633","0.05","","128.343","","","269.235","","","2.489","1","","","","","1.373","","","36.997","1.5","","0.013","","","0.05","0.1","","11.135","0.1","","92.074","1.6","","","","","0.01","0.02","","5.999","","","2.442","","","12.753","3","","0.033","","","0.03","","","28.24","1","","261.578","10","","8.746","2","","7.373","","","","","","","",""
"90109","ZQMMLO1 2525CD00053 DE DAM VAN METSUGO MOLOPO-MADIBE","-25.405278","25.931944","ZQMMLO1 DE DAM VAN METSUGO MOLOPO                                                                   ","Borehole","A31H","","No","2016-06-17","10:15:00","","","","","","","HGCL2","Sample","5.641","","","0.449","","","49.3","2.5","","72.2","2","","605.722","","","77.8","1","","0.324","0.05","","84.297","","","223.185","","","2.5","1","","","","","1.247","","","24.3","1.5","","0.01","","","0.05","0.1","","9.37","0.1","","88","3","","","","","0.01","0.02","","6.106","","","2.564","","","13.2","1.2","","0.037","","","0.034","","","26.5","1","","257.8","10","","8.6","2","","7.353","","","","","","","",""
"90109","ZQMMLO1 2525CD00053 DE DAM VAN METSUGO MOLOPO-MADIBE","-25.405278","25.931944","ZQMMLO1 DE DAM VAN METSUGO MOLOPO                                                                   ","Borehole","A31H","","No","2016-09-20","12:45:00","","","","","","","HGCL2","Sample","0.256","","","0.061","","","56.6","2.5","","8.7","2","","463.485","","","49.6","1","","0.958","0.05","","128.353","","","293.715","","","1.1","1","","","","","0.927","","","37","1.5","","0.004","","","0.05","0.1","","6.85","0.1","","4.3","1.6","","","","","0.01","0.02","","6.345","","","0.109","","","3.5","1.2","","0.013","","","0.012","","","10.2","1","","263.2","10","","8.2","2","","7.273","","","","","","","",""
"90109","ZQMMLO1 2525CD00053 DE DAM VAN METSUGO MOLOPO-MADIBE","-25.405278","25.931944","ZQMMLO1 DE DAM VAN METSUGO MOLOPO                                                                   ","Borehole","A31H","","No","2017-10-06","09:45:00","","","","","","","HGCL2","Sample","3.432","","","0.258","","","65","2.5","","44.4","2","","655.236","","","76.1","1","","0.452","0.1","","115.171","","","299.043","","","1.5","1","","","","","1.486","","","33.2","1.5","","0.01","","","0.05","0.1","","3.143","0.1","","55.9","1.6","","","","","0.01","0.02","","5.629","","","1.407","","","24.4","1.2","","0.059","","","0.058","","","21.5","1","","341.5","10","","8.6","2","","7.114","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1971-09-27","15:30:00","","","","0","","","NONE","Sample","0.889","","","0.025","","","41.5","1","","3.8","3","","","","","50","1","","0.05","0.1","","118.64","","","244.476","","","","","","","","","","","","34.2","1","","","","","","","","","","","13.7","2","","","","","","","","","","","0.38","0","","2","4","","","","","","","","","","","302.4","4","","8.1","2","","","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1977-07-27","12:30:00","","","","0","","","NONE","Sample","0.117","","","0.032","","","56","1","","4.5","3","","427","1","","50.8","1","","0.21","0.1","","118.293","","","280.274","","","0.4","0.3","","","","","0.392","","","34.1","1","","0.001","","","0.05","0.04","","0.51","0.04","","1","2","","","","","0.011","0.005","","6.876","","","0.05","0","","2","4","","","","","","","","6.63","0.4","","266.6","4","","7.66","2","","7.268","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1977-08-24","11:00:00","","","","0","","","NONE","Sample","0.141","","","0.032","","","58.7","1","","4.7","3","","436","1","","52.8","1","","0.19","0.1","","116.906","","","285.369","","","0.43","0.3","","","","","0.519","","","33.7","1","","0.004","","","0.12","0.04","","0.4","0.04","","2.3","2","","","","","0.029","0.005","","6.721","","","0.06","0","","2","4","","","","","","","","6.49","0.4","","271.4","4","","7.76","2","","7.241","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1977-09-26","13:30:00","","","","0","","","NONE","Sample","0.182","","","0.025","","","45.5","1","","3","3","","403","1","","52.6","1","","0.19","0.1","","116.906","","","252.406","","","0.56","0.3","","","","","0.447","","","33.7","1","","0.017","","","0.43","0.04","","0.57","0.04","","2.8","2","","","","","0.003","0.005","","6.926","","","0.08","0","","2","4","","","","","","","","28.21","0.4","","256.2","4","","7.82","2","","7.373","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1977-10-25","14:20:00","","","","0","","","NONE","Sample","0.123","","","0.034","","","25.3","1","","3.2","3","","299","1","","51.9","1","","0.15","0.1","","105.111","","","187.96","","","0.15","0.3","","","","","0.16","","","30.3","1","","0.001","","","0.02","0.04","","0.25","0.04","","1","2","","","","","0.018","0.005","","7.581","","","0.06","0","","2","4","","","","","","","","7.27","0.4","","191.9","4","","7.9","2","","7.74","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1977-11-30","09:30:00","","","","0","","","NONE","Sample","0.176","","","0.059","","","36.6","1","","3.4","3","","361","1","","51.4","1","","0.13","0.1","","117.946","","","231.416","","","0.15","0.3","","","","","0.36","","","34","1","","0.002","","","0.04","0.04","","0.58","0.04","","2.7","2","","","","","0.007","0.005","","7.161","","","0.08","0","","8","4","","","","","","","","7.98","0.4","","224.3","4","","7.88","2","","7.52","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1977-12-30","13:25:00","","","","0","","","NONE","Sample","0.094","","","0.035","","","58.3","1","","3.7","3","","434","1","","49.8","1","","0.18","0.1","","122.109","","","290.548","","","0.15","0.3","","","","","0.224","","","35.2","1","","0.001","","","0.05","0.04","","0.3","0.04","","1","2","","","","","0.007","0.005","","7.021","","","0.04","0","","4","4","","","","","","","","7.62","0.4","","270.1","4","","7.47","2","","7.245","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1978-01-19","12:30:00","","","","0","","","NONE","Sample","0.173","","","0.036","","","31.5","1","","4","3","","341","1","","46.3","1","","0.24","0.1","","120.028","","","221.151","","","0.15","0.3","","","","","0.7","","","34.6","1","","0.017","","","0.15","0.04","","0.43","0.04","","2.9","2","","","","","0.018","0.005","","6.899","","","0.08","0","","2","4","","","","","","","","7.93","0.4","","216","4","","8.3","2","","7.599","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1978-02-27","15:15:00","","","","0","","","NONE","Sample","0.141","","","0.029","","","58.9","1","","1.5","3","","437","1","","53.2","1","","0.17","0.1","","117.252","","","286.281","","","0.15","0.3","","","","","0.212","","","33.8","1","","0.001","","","0.07","0.04","","0.28","0.04","","2.4","2","","","","","0.003","0.005","","7.026","","","0.06","0","","5.6","4","","","","","","","","6.81","0.4","","272.2","4","","7.45","2","","7.238","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1978-04-27","11:45:00","","","","0","","","NONE","Sample","0.188","","","0.026","","","57.4","1","","3.5","3","","428","1","","52.3","1","","0.18","0.1","","117.946","","","283.359","","","0.53","0.3","","","","","0.871","","","34","1","","0.008","","","0.1","0.04","","0.57","0.04","","3.1","2","","","","","0.018","0.005","","6.387","","","0.08","0","","2","4","","","","","","","","7.72","0.4","","265.8","4","","8.13","2","","7.259","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1978-05-29","15:20:00","","","","0","","","NONE","Sample","0.169","","","0.014","","","60.9","1","","1.5","3","","470","1","","50.6","1","","0.12","0.1","","122.456","","","297.452","","","0.55","0.3","","","","","0.765","","","35.3","1","","0.006","","","0.12","0.04","","0.57","0.04","","2.8","2","","","","","0.003","0.005","","6.42","","","0.07","0","","2","4","","","","","","","","7.89","0.4","","299.7","4","","7.95","2","","7.185","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1978-07-28","14:30:00","","","","0","","","NONE","Sample","0.165","","","0.029","","","56.3","1","","4.2","3","","437","1","","53.1","1","","0.05","0.1","","125.925","","","290.083","","","0.34","0.3","","","","","0.475","","","36.3","1","","0.003","","","0.08","0.04","","0.14","0.04","","2.8","2","","","","","0.003","0.005","","6.78","","","0.07","0","","2","4","","","","","","","","8.31","0.4","","274","4","","7.73","2","","7.255","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1978-08-29","15:00:00","","","","0","","","NONE","Sample","0.188","","","0.037","","","55.3","1","","3.3","3","","435","1","","50","1","","0.28","0.1","","120.375","","","280.997","","","0.44","0.3","","","","","0.635","","","34.7","1","","0.004","","","0.09","0.04","","0.15","0.04","","3","2","","","","","0.014","0.005","","6.63","","","0.08","0","","5.1","4","","","","","","","","7.3","0.4","","272.4","4","","7.9","2","","7.265","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1978-09-27","12:10:00","","","","0","","","NONE","Sample","0.189","","","0.045","","","60","1","","1.5","3","","444","1","","50.9","1","","0.18","0.1","","121.415","","","293.969","","","0.34","0.3","","","","","0.856","","","35","1","","0.006","","","0.09","0.04","","0.73","0.04","","3","2","","","","","0.014","0.005","","6.378","","","0.08","0","","9.6","4","","","","","","","","7.35","0.4","","270","4","","8.09","2","","7.234","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1978-10-30","13:30:00","","","","0","","","NONE","Sample","0.188","","","0.049","","","56","1","","1.5","3","","438","1","","51.4","1","","0.17","0.1","","120.028","","","282.333","","","0.15","0.3","","","","","0.439","","","34.6","1","","0.002","","","0.07","0.04","","0.47","0.04","","2.9","2","","","","","0.011","0.005","","6.822","","","0.08","0","","10.7","4","","","","","","","","7.65","0.4","","271.6","4","","7.7","2","","7.261","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1978-11-28","14:30:00","","","","0","","","NONE","Sample","0.171","","","0.037","","","32.9","1","","3.9","3","","327","1","","40.3","1","","0.14","0.1","","118.293","","","222.588","","","0.15","0.3","","","","","0.598","","","34.1","1","","0.002","","","0.02","0.04","","0.6","0.04","","2.6","2","","","","","0.007","0.005","","7.004","","","0.08","0","","2","4","","","","","","","","7.22","0.4","","204.8","4","","8.2","2","","7.602","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1979-01-09","12:20:00","","","","0","","","NONE","Sample","0.185","","","0.039","","","50.4","1","","4.2","3","","415","1","","49.8","1","","0.27","0.1","","122.109","","","270.82","","","0.31","0.3","","","","","0.824","","","35.2","1","","0.003","","","0.04","0.04","","0.48","0.04","","2.9","2","","","","","0.011","0.005","","6.502","","","0.08","0","","4.1","4","","","","","","","","7.59","0.4","","258.5","4","","8.15","2","","7.326","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1979-11-21","16:50:00","","","","0","","","NONE","Sample","0.158","","","0.038","","","47.1","1","","3","3","","387","1","","50.6","1","","0.15","0.1","","115.865","","","255.166","","","0.15","0.3","","","","","0.417","","","33.4","1","","0.001","","","0.02","0.04","","0.54","0.04","","2.4","2","","","","","0.003","0.005","","6.966","","","0.07","0","","4.7","4","","","","","","","","9.38","0.4","","240.9","4","","7.8","2","","7.383","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1979-12-19","16:15:00","","","","0","","","NONE","Sample","0.187","","","0.05","","","56.9","1","","5.5","3","","431","1","","52.4","1","","0.11","0.1","","120.721","","","285.404","","","0.46","0.3","","","","","0.845","","","34.8","1","","0.001","","","0.02","0.04","","0.66","0.04","","3","2","","","","","0.015","0.005","","6.42","","","0.08","0","","5.2","4","","","","","","","","7.71","0.4","","264.4","4","","8.11","2","","7.265","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1980-01-23","16:25:00","","","","0","","","NONE","Sample","0.207","","","0.034","","","55","1","","4.6","3","","412","1","","51.5","1","","0.14","0.1","","108.233","","","265.834","","","0.15","0.3","","","","","0.79","","","31.2","1","","0.001","","","0.02","0.04","","1.8","0.04","","3.2","2","","","","","0.011","0.005","","6.511","","","0.09","0","","2","4","","","","","","","","8.53","0.4","","251.1","4","","8.09","2","","7.3","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1980-02-20","16:40:00","","","","0","","","NONE","Sample","0.187","","","0.047","","","59.3","1","","7.1","3","","427","1","","52.3","1","","0.12","0.1","","121.762","","","292.633","","","0.15","0.3","","","","","0.567","","","35.1","1","","0.002","","","0.04","0.04","","0.43","0.04","","3","2","","","","","0.003","0.005","","6.687","","","0.08","0","","2","4","","","","","","","","7.75","0.4","","260.4","4","","7.82","2","","7.253","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1980-03-19","16:55:00","","","","9.401","","","NONE","Sample","0.157","","","0.02","","","58","1","","1.5","3","","359","1","","52","1","","0.05","0.1","","123.497","","","291.446","","","0.15","0.3","","","","","0.664","","","35.6","1","","0.001","","","0.02","0.04","","0.06","0.04","","2.7","2","","","","","0.003","0.005","","6.682","","","0.07","0","","2","4","","","","","","","","7.72","0.4","","211.4","4","","8.01","2","","7.346","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1980-04-24","16:40:00","","","","0","","","NONE","Sample","0.196","","","0.07","","","54.3","1","","4.9","3","","340","1","","50.9","1","","0.37","0.1","","113.09","","","269.852","","","1.35","0.3","","","","","0.015","","","32.6","1","","0.001","","","0.05","0.04","","0.45","0.04","","3.5","2","","","","","0.246","0.005","","7.401","","","0.09","0","","6.3","4","","","","","","","","7.4","0.4","","191.4","4","","7.43","2","","7.415","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1980-07-23","15:30:00","","","","0","","","NONE","Sample","0.118","","","0.068","","","57.6","1","","5.3","3","","429","1","","51.9","1","","0.22","0.1","","140.148","","","310.214","","","0.68","0.3","","","","","0.518","","","40.4","1","","0.001","","","0.02","0.04","","0.14","0.04","","1","2","","","","","0.003","0.005","","6.755","","","0.05","0","","9.5","4","","","","","","","","8.21","0.4","","256.7","4","","7.79","2","","7.272","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1980-08-21","15:30:00","","","","0","","","NONE","Sample","0.116","","","0.077","","","51","1","","6.1","3","","407","1","","48.2","1","","0.19","0.1","","152.289","","","308.146","","","0.36","0.3","","","","","0.287","","","43.9","1","","0.001","","","0.02","0.04","","0.43","0.04","","1","2","","","","","0.003","0.005","","7.067","","","0.05","0","","9.5","4","","","","","","","","7.83","0.4","","239.4","4","","7.64","2","","7.353","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1980-09-16","15:35:00","","","","9.401","","","NONE","Sample","0.174","","","0.057","","","43.7","1","","4.9","3","","338","1","","47.4","1","","0.25","0.1","","117.252","","","248.323","","","0.61","0.3","","","","","0.402","","","33.8","1","","0.001","","","0.02","0.04","","0.44","0.04","","2.8","2","","","","","0.013","0.005","","7.085","","","0.08","0","","4.4","4","","","","","","","","7.65","0.4","","201.3","4","","7.89","2","","7.488","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1980-10-22","16:00:00","","","","9.401","","","NONE","Sample","0.212","","","0.089","","","36","1","","6.3","3","","322","1","","43.4","1","","0.05","0.1","","115.171","","","226.623","","","0.4","0.3","","","","","0.047","","","33.2","1","","0.001","","","0.02","0.04","","0.53","0.04","","3.6","2","","","","","0.005","0.005","","7.546","","","0.1","0","","7.7","4","","","","","","","","7.59","0.4","","190.7","4","","7.64","2","","7.593","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1980-11-18","17:05:00","","","","9.401","","","NONE","Sample","0.196","","","0.114","","","43.9","1","","5.8","3","","349","1","","47.9","1","","0.27","0.1","","122.803","","","255.411","","","0.47","0.3","","","","","0.213","","","35.4","1","","0.001","","","0.04","0.04","","0.06","0.04","","3.2","2","","","","","0.003","0.005","","7.274","","","0.09","0","","14.1","4","","","","","","","","8.34","0.4","","201.2","4","","7.7","2","","7.487","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1980-12-10","09:00:00","","","","0","","","NONE","Sample","0.156","","","0.048","","","48.6","1","","1.5","3","","364","1","","47.4","1","","0.11","0.1","","116.906","","","260.147","","","0.15","0.3","","","","","0.311","","","33.7","1","","0.002","","","0.07","0.04","","0.38","0.04","","2.5","2","","","","","0.003","0.005","","7.098","","","0.07","0","","8.1","4","","","","","","","","7.81","0.4","","218.5","4","","7.72","2","","7.409","","","","","","","",""
"90298","A3H011Q01 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991389","VERGENOEGD EYE (A3)                                                                                 ","Spring/Eye","A31D","","No","1981-01-20","14:30:00","","","","9.401","","","NONE","Sample","0.198","","","0.057","","","43.5","1","","5.2","3","","352","1","","46.4","1","","0.13","0.1","","122.109","","","253.589","","","0.48","0.3","","","","","-0.04","","","35.2","1","","0.002","","","0.11","0.04","","0.47","0.04","","3.4","2","","","","","0.003","0.005","","7.511","","","0.09","0","","4.5","4","","","","","","","","7.76","0.4","","211.2","4","","7.43","2","","7.47","","","","","","","",""
