"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","WaterStrike_ConstructionCompletionDate","WaterStrike_YieldMeasurementMethod","WaterStrike_WaterStrikeType","WaterStrike_SeepageValue","WaterStrike_DepthToTop","WaterStrike_DepthToBottom","WaterStrike_TotalBlowYieldValue","WaterStrike_ContributionValue"
"Dept Water - Pretoria","2526CA00501","Borehole","-25.55188","26.05973","",,"",,,,,
"Dept Water - Pretoria","2526CA00528","Borehole","-25.55176","26.03181","",,"",,,,,
"Dept Water - Pretoria","2526CA00529","Borehole","-25.55151","26.03237","",,"",,,,,
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516","1977-01-21",,"Total Yield",,"60.00",,"1.2800",
"Dept Water - Pretoria","2525DB00353","Borehole","-25.55087","25.86382","1994-10-01",,"Total Seepage","0.0001","61.00",,,
"Dept Water - Pretoria","2525DB00209","Borehole","-25.55077","25.76649","1979-03-07","Float Principle (Thalimedes)","Total Yield",,"99.00",,"0.6400",
"Dept Water - Pretoria","2525DB00269","Borehole","-25.55077","25.76649","1909-07-28","Float Principle (Thalimedes)","Total Yield",,"4.57","15.24","2.5400",
"Dept Water - Pretoria","2525DB00301","Borehole","-25.55076","25.76648","1970-03-21","Float Principle (Thalimedes)","Total Yield",,"45.72","57.91","0.7600",
"Dept Water - Pretoria","2525DB00302","Borehole","-25.55076","25.76649","1970-05-08","Float Principle (Thalimedes)","Total Yield",,"45.72","76.20","1.8900",
"Dept Water - Pretoria","2525DB00299","Borehole","-25.55075","25.76647","1966-03-25","Float Principle (Thalimedes)","Total Seepage","0.0500","45.72",,,
"Dept Water - Pretoria","2525DB00300","Borehole","-25.55075","25.76648","1966-04-22","Float Principle (Thalimedes)","Total Yield",,"41.15",,"1.8900",
"Dept Water - Pretoria","2525DB00297","Borehole","-25.55074","25.76646","1963-01-12","Estimated","Individual Contribution",,"56.69",,"1.9001","1.9"
"Dept Water - Pretoria","2525DB00297","Borehole","-25.55074","25.76646","1963-01-12","Estimated","Individual Contribution","0.0001","45.72",,"1.9001",
"Dept Water - Pretoria","2525DB00298","Borehole","-25.55074","25.76647","1963-03-27","Float Principle (Thalimedes)","Total Yield",,"21.95","31.39","0.3200",
"Dept Water - Pretoria","2525DB00295","Borehole","-25.55073","25.76645","1961-12-11",,"Total Seepage","0.0001","14.94",,,
"Dept Water - Pretoria","2525DB00296","Borehole","-25.55073","25.76646","1962-12-13","Estimated","Individual Contribution",,"51.82",,"0.3001","0.3"
"Dept Water - Pretoria","2525DB00296","Borehole","-25.55073","25.76646","1962-12-13","Estimated","Individual Contribution","0.0001","45.72",,"0.3001",
"Dept Water - Pretoria","2525DB00293","Borehole","-25.55072","25.76644","1961-12-07",,"Total Seepage","0.0001","8.23",,,
"Dept Water - Pretoria","2525DB00294","Borehole","-25.55072","25.76645","1961-12-09",,"Total Seepage","0.0001","15.54",,,
"Dept Water - Pretoria","2525DB00291","Borehole","-25.55071","25.76643","1961-12-06",,"Total Seepage","0.0001","8.23",,,
"Dept Water - Pretoria","2525DB00292","Borehole","-25.55071","25.76644","1961-12-07",,"Total Seepage","0.0001","8.23",,,
"Dept Water - Pretoria","2525DB00289","Borehole","-25.55070","25.76636","1961-12-05",,"Total Seepage","0.0001","10.06",,,
"Dept Water - Pretoria","2525DB00290","Borehole","-25.55070","25.76643","1961-12-06",,"Total Seepage","0.0001","8.84",,,
"Dept Water - Pretoria","2525DB00287","Borehole","-25.55069","25.76641","1958-03-14",,"Individual Contribution",,"27.43",,"0.9001","0.9"
"Dept Water - Pretoria","2525DB00287","Borehole","-25.55069","25.76641","1958-03-14",,"Individual Contribution","0.0001","9.14",,"0.9001",
"Dept Water - Pretoria","2525DB00288","Borehole","-25.55069","25.76642","1958-03-29",,"Individual Contribution",,"35.05",,"0.9001","0.9"
"Dept Water - Pretoria","2525DB00288","Borehole","-25.55069","25.76642","1958-03-29",,"Individual Contribution","0.0001","28.96",,"0.9001",
"Dept Water - Pretoria","2525DA00053","Borehole","-25.55068","25.71640","",,"",,,,,
"Dept Water - Pretoria","2525DB00286","Borehole","-25.55068","25.76641","1958-02-22","Float Principle (Thalimedes)","Total Yield",,"35.97",,"0.3600",
"Dept Water - Pretoria","2525DA00052","Borehole","-25.55067","25.71640","1963-08-12",,"Individual Contribution",,"53.04",,"1.0001","1.0"
"Dept Water - Pretoria","2525DA00052","Borehole","-25.55067","25.71640","1963-08-12",,"Individual Contribution","0.0001","36.27",,"1.0001",
"Dept Water - Pretoria","2525DB00284","Borehole","-25.55067","25.76639","1939-09-11","Float Principle (Thalimedes)","Total Seepage","0.0800","31.39",,,
"Dept Water - Pretoria","2525DB00285","Borehole","-25.55067","25.76640","1958-02-03","Float Principle (Thalimedes)","Total Seepage","0.0600","38.40",,,
"Dept Water - Pretoria","2525DA00049","Borehole","-25.55066","25.71638","1963-03-12",,"Total Seepage","0.0001","59.74",,,
"Dept Water - Pretoria","2525DA00050","Borehole","-25.55066","25.71639","1963-04-09","Float Principle (Thalimedes)","Total Yield",,"26.82",,"0.2500",
