date_time,mean_discharge_cumecs,w_quality,name
19/09/60 00:00,0.092,26,A1H001
20/09/60 00:00,0.092,26,A1H001
21/09/60 00:00,0.092,26,A1H001
22/09/60 00:00,0.092,26,A1H001
23/09/60 00:00,0.092,26,A1H001
24/09/60 00:00,0.092,26,A1H001
25/09/60 00:00,0.092,26,A1H001
26/09/60 00:00,0.092,26,A1H001
27/09/60 00:00,0.092,26,A1H001
28/09/60 00:00,0.092,26,A1H001
29/09/60 00:00,0.092,26,A1H001
30/09/60 00:00,0.092,26,A1H001
01/10/60 00:00,0.092,26,A1H001
02/10/60 00:00,0.092,26,A1H001
03/10/60 00:00,0.092,26,A1H001
04/10/60 00:00,0.092,26,A1H001
05/10/60 00:00,0.092,26,A1H001
06/10/60 00:00,0.092,26,A1H001
07/10/60 00:00,0.092,26,A1H001
08/10/60 00:00,0.092,26,A1H001
09/10/60 00:00,0.092,26,A1H001
10/10/60 00:00,0.092,26,A1H001
11/10/60 00:00,0.092,26,A1H001
12/10/60 00:00,0.092,26,A1H001
13/10/60 00:00,0.092,26,A1H001
14/10/60 00:00,0.092,26,A1H001
15/10/60 00:00,0.092,26,A1H001
16/10/60 00:00,0.092,26,A1H001
17/10/60 00:00,0.092,26,A1H001
18/10/60 00:00,0.092,26,A1H001
19/10/60 00:00,0.092,26,A1H001
20/10/60 00:00,0.092,26,A1H001
21/10/60 00:00,0.092,26,A1H001
22/10/60 00:00,0.092,26,A1H001
23/10/60 00:00,0.092,26,A1H001
24/10/60 00:00,0.092,26,A1H001
25/10/60 00:00,0.092,26,A1H001
26/10/60 00:00,0.092,26,A1H001
27/10/60 00:00,0.091,26,A1H001
28/10/60 00:00,0.091,26,A1H001
29/10/60 00:00,0.09,26,A1H001
30/10/60 00:00,0.09,26,A1H001
31/10/60 00:00,0.089,26,A1H001
01/11/60 00:00,0.089,26,A1H001
02/11/60 00:00,0.089,26,A1H001
03/11/60 00:00,0.089,26,A1H001
04/11/60 00:00,0.09,26,A1H001
05/11/60 00:00,0.09,26,A1H001
06/11/60 00:00,0.09,26,A1H001
07/11/60 00:00,0.09,26,A1H001
08/11/60 00:00,0.09,26,A1H001
09/11/60 00:00,0.091,26,A1H001
10/11/60 00:00,0.091,26,A1H001
11/11/60 00:00,0.091,26,A1H001
12/11/60 00:00,0.091,26,A1H001
13/11/60 00:00,0.091,26,A1H001
14/11/60 00:00,0.092,26,A1H001
15/11/60 00:00,0.092,26,A1H001
16/11/60 00:00,0.092,26,A1H001
17/11/60 00:00,0.092,26,A1H001
18/11/60 00:00,0.092,26,A1H001
19/11/60 00:00,0.092,26,A1H001
20/11/60 00:00,0.092,26,A1H001
21/11/60 00:00,0.092,26,A1H001
22/11/60 00:00,0.092,26,A1H001
23/11/60 00:00,0.092,26,A1H001
24/11/60 00:00,0.092,26,A1H001
25/11/60 00:00,0.092,26,A1H001
26/11/60 00:00,0.092,26,A1H001
27/11/60 00:00,0.092,26,A1H001
28/11/60 00:00,0.092,26,A1H001
29/11/60 00:00,0.092,26,A1H001
30/11/60 00:00,0.092,26,A1H001
01/12/60 00:00,0.092,26,A1H001
02/12/60 00:00,0.092,26,A1H001
03/12/60 00:00,0.092,26,A1H001
04/12/60 00:00,0.092,26,A1H001
05/12/60 00:00,0.092,26,A1H001
06/12/60 00:00,0.092,26,A1H001
07/12/60 00:00,0.091,26,A1H001
08/12/60 00:00,0.091,26,A1H001
09/12/60 00:00,0.091,26,A1H001
10/12/60 00:00,0.091,26,A1H001
11/12/60 00:00,0.091,26,A1H001
12/12/60 00:00,0.09,26,A1H001
13/12/60 00:00,0.09,26,A1H001
14/12/60 00:00,0.09,26,A1H001
15/12/60 00:00,0.09,26,A1H001
16/12/60 00:00,0.09,26,A1H001
17/12/60 00:00,0.09,26,A1H001
18/12/60 00:00,0.089,26,A1H001
19/12/60 00:00,0.089,26,A1H001
20/12/60 00:00,0.089,26,A1H001
21/12/60 00:00,0.089,26,A1H001
22/12/60 00:00,0.089,26,A1H001
23/12/60 00:00,0.089,26,A1H001
24/12/60 00:00,0.089,26,A1H001
25/12/60 00:00,0.089,26,A1H001
26/12/60 00:00,0.089,26,A1H001
27/12/60 00:00,0.089,26,A1H001
28/12/60 00:00,0.089,26,A1H001
29/12/60 00:00,0.089,26,A1H001
30/12/60 00:00,0.089,26,A1H001
31/12/60 00:00,0.089,26,A1H001
01/01/61 00:00,0.089,26,A1H001
02/01/61 00:00,0.089,26,A1H001
03/01/61 00:00,0.089,26,A1H001
04/01/61 00:00,0.089,26,A1H001
05/01/61 00:00,0.089,26,A1H001
06/01/61 00:00,0.089,26,A1H001
07/01/61 00:00,0.089,26,A1H001
08/01/61 00:00,0.089,26,A1H001
09/01/61 00:00,0.089,26,A1H001
10/01/61 00:00,0.089,26,A1H001
11/01/61 00:00,0.089,26,A1H001
12/01/61 00:00,0.089,26,A1H001
13/01/61 00:00,0.089,26,A1H001
14/01/61 00:00,0.089,26,A1H001
15/01/61 00:00,0.089,26,A1H001
16/01/61 00:00,0.088,26,A1H001
17/01/61 00:00,0.088,26,A1H001
18/01/61 00:00,0.088,26,A1H001
19/01/61 00:00,0.088,26,A1H001
20/01/61 00:00,0.088,26,A1H001
21/01/61 00:00,0.088,26,A1H001
22/01/61 00:00,0.088,26,A1H001
23/01/61 00:00,0.087,26,A1H001
24/01/61 00:00,0.087,26,A1H001
25/01/61 00:00,0.087,26,A1H001
26/01/61 00:00,0.087,26,A1H001
27/01/61 00:00,0.087,26,A1H001
28/01/61 00:00,0.087,26,A1H001
29/01/61 00:00,0.086,26,A1H001
30/01/61 00:00,0.086,26,A1H001
31/01/61 00:00,0.086,26,A1H001
01/02/61 00:00,0.086,26,A1H001
02/02/61 00:00,0.086,26,A1H001
03/02/61 00:00,0.086,26,A1H001
04/02/61 00:00,0.086,26,A1H001
05/02/61 00:00,0.086,26,A1H001
06/02/61 00:00,0.086,26,A1H001
07/02/61 00:00,0.086,26,A1H001
08/02/61 00:00,0.086,26,A1H001
09/02/61 00:00,0.086,26,A1H001
10/02/61 00:00,0.086,26,A1H001
11/02/61 00:00,0.086,26,A1H001
12/02/61 00:00,0.086,26,A1H001
13/02/61 00:00,0.086,26,A1H001
14/02/61 00:00,0.086,26,A1H001
15/02/61 00:00,0.086,26,A1H001
16/02/61 00:00,0.086,26,A1H001
17/02/61 00:00,0.086,26,A1H001
18/02/61 00:00,0.086,26,A1H001
19/02/61 00:00,0.086,26,A1H001
20/02/61 00:00,0.086,26,A1H001
21/02/61 00:00,0.086,26,A1H001
22/02/61 00:00,0.086,26,A1H001
23/02/61 00:00,0.086,26,A1H001
24/02/61 00:00,0.086,26,A1H001
25/02/61 00:00,0.086,26,A1H001
26/02/61 00:00,0.086,26,A1H001
27/02/61 00:00,0.086,26,A1H001
28/02/61 00:00,0.086,26,A1H001
01/03/61 00:00,0.086,26,A1H001
02/03/61 00:00,0.086,26,A1H001
03/03/61 00:00,0.086,26,A1H001
04/03/61 00:00,0.086,26,A1H001
05/03/61 00:00,0.086,26,A1H001
06/03/61 00:00,0.086,26,A1H001
07/03/61 00:00,0.086,26,A1H001
08/03/61 00:00,0.086,26,A1H001
09/03/61 00:00,0.086,26,A1H001
10/03/61 00:00,0.086,26,A1H001
11/03/61 00:00,0.086,26,A1H001
12/03/61 00:00,0.086,26,A1H001
13/03/61 00:00,0.086,26,A1H001
14/03/61 00:00,0.086,26,A1H001
15/03/61 00:00,0.086,26,A1H001
16/03/61 00:00,0.086,26,A1H001
17/03/61 00:00,0.086,26,A1H001
18/03/61 00:00,0.086,26,A1H001
19/03/61 00:00,0.086,26,A1H001
20/03/61 00:00,0.086,26,A1H001
21/03/61 00:00,0.086,26,A1H001
22/03/61 00:00,0.087,26,A1H001
23/03/61 00:00,0.087,26,A1H001
24/03/61 00:00,0.087,26,A1H001
25/03/61 00:00,0.088,26,A1H001
26/03/61 00:00,0.088,26,A1H001
27/03/61 00:00,0.088,26,A1H001
28/03/61 00:00,0.088,26,A1H001
29/03/61 00:00,0.089,26,A1H001
30/03/61 00:00,0.089,26,A1H001
31/03/61 00:00,0.089,26,A1H001
01/04/61 00:00,0.089,26,A1H001
02/04/61 00:00,0.089,26,A1H001
03/04/61 00:00,0.089,26,A1H001
04/04/61 00:00,0.089,26,A1H001
05/04/61 00:00,0.089,26,A1H001
06/04/61 00:00,0.089,26,A1H001
07/04/61 00:00,0.089,26,A1H001
08/04/61 00:00,0.089,26,A1H001
09/04/61 00:00,0.089,26,A1H001
10/04/61 00:00,0.089,26,A1H001
11/04/61 00:00,0.089,26,A1H001
12/04/61 00:00,0.089,26,A1H001
13/04/61 00:00,0.089,26,A1H001
14/04/61 00:00,0.089,26,A1H001
15/04/61 00:00,0.089,26,A1H001
16/04/61 00:00,0.089,26,A1H001
17/04/61 00:00,0.089,26,A1H001
18/04/61 00:00,0.089,26,A1H001
19/04/61 00:00,0.089,26,A1H001
20/04/61 00:00,0.089,26,A1H001
21/04/61 00:00,0.089,26,A1H001
22/04/61 00:00,0.089,26,A1H001
23/04/61 00:00,0.089,26,A1H001
24/04/61 00:00,0.089,26,A1H001
25/04/61 00:00,0.089,26,A1H001
26/04/61 00:00,0.089,26,A1H001
27/04/61 00:00,0.089,26,A1H001
28/04/61 00:00,0.089,26,A1H001
29/04/61 00:00,0.089,26,A1H001
30/04/61 00:00,0.089,26,A1H001
01/05/61 00:00,0.089,26,A1H001
02/05/61 00:00,0.089,26,A1H001
03/05/61 00:00,0.089,26,A1H001
04/05/61 00:00,0.089,26,A1H001
05/05/61 00:00,0.089,26,A1H001
06/05/61 00:00,0.089,26,A1H001
07/05/61 00:00,0.089,26,A1H001
08/05/61 00:00,0.089,26,A1H001
09/05/61 00:00,0.089,26,A1H001
10/05/61 00:00,0.089,26,A1H001
11/05/61 00:00,0.089,26,A1H001
12/05/61 00:00,0.089,26,A1H001
13/05/61 00:00,0.089,26,A1H001
14/05/61 00:00,0.089,26,A1H001
15/05/61 00:00,0.089,26,A1H001
16/05/61 00:00,0.089,26,A1H001
17/05/61 00:00,0.089,26,A1H001
18/05/61 00:00,0.089,26,A1H001
19/05/61 00:00,0.089,26,A1H001
20/05/61 00:00,0.089,26,A1H001
21/05/61 00:00,0.089,26,A1H001
22/05/61 00:00,0.089,26,A1H001
23/05/61 00:00,0.089,26,A1H001
24/05/61 00:00,0.089,26,A1H001
25/05/61 00:00,0.089,26,A1H001
26/05/61 00:00,0.089,26,A1H001
27/05/61 00:00,0.089,26,A1H001
28/05/61 00:00,0.089,26,A1H001
29/05/61 00:00,0.088,26,A1H001
30/05/61 00:00,0.088,26,A1H001
31/05/61 00:00,0.088,26,A1H001
01/06/61 00:00,0.088,26,A1H001
02/06/61 00:00,0.088,26,A1H001
03/06/61 00:00,0.088,26,A1H001
04/06/61 00:00,0.087,26,A1H001
05/06/61 00:00,0.087,26,A1H001
06/06/61 00:00,0.087,26,A1H001
07/06/61 00:00,0.087,26,A1H001
08/06/61 00:00,0.087,26,A1H001
09/06/61 00:00,0.086,26,A1H001
10/06/61 00:00,0.086,26,A1H001
11/06/61 00:00,0.086,26,A1H001
12/06/61 00:00,0.086,26,A1H001
13/06/61 00:00,0.086,26,A1H001
14/06/61 00:00,0.086,26,A1H001
15/06/61 00:00,0.086,26,A1H001
16/06/61 00:00,0.086,26,A1H001
17/06/61 00:00,0.086,26,A1H001
18/06/61 00:00,0.086,26,A1H001
19/06/61 00:00,0.086,26,A1H001
20/06/61 00:00,0.086,26,A1H001
21/06/61 00:00,0.086,26,A1H001
22/06/61 00:00,0.086,26,A1H001
23/06/61 00:00,0.086,26,A1H001
24/06/61 00:00,0.086,26,A1H001
25/06/61 00:00,0.086,26,A1H001
26/06/61 00:00,0.086,26,A1H001
27/06/61 00:00,0.086,26,A1H001
28/06/61 00:00,0.086,26,A1H001
29/06/61 00:00,0.086,26,A1H001
30/06/61 00:00,0.086,26,A1H001
01/07/61 00:00,0.086,26,A1H001
02/07/61 00:00,0.086,26,A1H001
03/07/61 00:00,0.086,26,A1H001
04/07/61 00:00,0.086,26,A1H001
05/07/61 00:00,0.086,26,A1H001
06/07/61 00:00,0.086,26,A1H001
07/07/61 00:00,0.086,26,A1H001
08/07/61 00:00,0.086,26,A1H001
09/07/61 00:00,0.086,26,A1H001
10/07/61 00:00,0.086,26,A1H001
11/07/61 00:00,0.086,26,A1H001
12/07/61 00:00,0.086,26,A1H001
13/07/61 00:00,0.086,26,A1H001
14/07/61 00:00,0.086,26,A1H001
15/07/61 00:00,0.086,26,A1H001
16/07/61 00:00,0.086,26,A1H001
