"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","EquipmentInstalled_MonitoringType","EquipmentInstalled_InstallationDate","EquipmentInstalled_DecommissionedDate","EquipmentInstalled_PumpType","EquipmentInstalled_DepthtoPumpIntake","EquipmentInstalled_PumpPowerSource","EquipmentInstalled_MeterType","EquipmentInstalled_WaterMeterBulkMeterIndicator","EquipmentInstalled_WaterMeterMaximumMeasurementValue","EquipmentInstalled_RainfallMonitoringEquipmentType","EquipmentInstalled_RainfallOtherEquipmentType","EquipmentInstalled_ElectronicDataLogger","EquipmentInstalled_OtherElectronicDataLoggerType","EquipmentInstalled_MeasurementMethod","EquipmentInstalled_WaterLevelMonitoringEquipmentType"
"Dept Water - Pretoria","2525DA00120","Borehole","-25.53838","25.74858",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DA00119","Borehole","-25.53837","25.74857",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00380","Borehole","-25.53810","26.00300","Non Monitoring","1988-08-23","","Positive Displacement",,,,,,,,,,,
"Dept Water - Pretoria","2525DB00167","Borehole","-25.53725","25.89409","Non Monitoring","1988-08-18","","Positive Displacement",,,,,,,,,,,
"Dept Water - North West","045368","Borehole","-25.53640","25.90232","Rainfall Monitoring","2000-05-02","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","2525DA00116","Borehole","-25.53615","25.71347",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DA00115","Borehole","-25.53615","25.71497",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00371","Borehole","-25.53532","26.01744","Non Monitoring","1988-08-25","","Positive Displacement",,,,,,,,,,,
"Dept Water - Pretoria","2526CA00744","Borehole","-25.53532","26.01912","Non Monitoring","1900-01-01","","Mono Type Pump",,,,,,,,,,,
"Dept Water - Pretoria","2525DA00118","Borehole","-25.53531","25.69174",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00095","Borehole","-25.53531","25.95242","Non Monitoring","1988-08-23","","Mono Type Pump",,,,,,,,,,,
"Dept Water - Pretoria","2525DB00090","Borehole","-25.53503","25.92742","Non Monitoring","1988-08-18","","Positive Displacement",,,,,,,,,,,
"Dept Water - North West","045803","Borehole","-25.53423","25.90307",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00325","Borehole","-25.53399","26.08300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00323","Borehole","-25.53398","26.08300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00321","Borehole","-25.53397","26.08300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00319","Borehole","-25.53396","26.08300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00317","Borehole","-25.53395","26.08300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00315","Borehole","-25.53394","26.08300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00314","Borehole","-25.53393","26.08300",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00316","Borehole","-25.53393","26.08301",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00318","Borehole","-25.53393","26.08302",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00320","Borehole","-25.53393","26.08303",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00322","Borehole","-25.53393","26.08304",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00328","Borehole","-25.53393","26.08306",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00193","Borehole","-25.53367","25.89966",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00194","Borehole","-25.53367","25.89967",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00191","Borehole","-25.53366","25.89965",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00192","Borehole","-25.53366","25.89966",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00190","Borehole","-25.53365","25.89965",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00572","Borehole","-25.53257","26.02527","Non Monitoring","1900-01-01","","Positive Displacement",,,,,,,,,,,
"Dept Water - Pretoria","2525DA00117","Borehole","-25.53253","25.71241",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","045354","Borehole","-25.53232","25.82925","Rainfall Monitoring","1998-08-09","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","2525DA00114","Borehole","-25.53212","25.73791",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","045355A","Borehole","-25.53170","25.82965",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00313","Borehole","-25.53088","25.90854",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00312","Borehole","-25.53087","25.90854",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00314","Borehole","-25.53087","25.90855",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00130","Borehole","-25.53059","25.95659","Non Monitoring","1988-08-24","","Positive Displacement",,,,,,,,,,,
"Dept Water - Pretoria","2525DB00116","Borehole","-25.53031","25.98520","Non Monitoring","1988-08-23","","Mono Type Pump",,,,,,,,,,,
"Dept Water - Pretoria","2525DB00057","Borehole","-25.52975","25.80937","Non Monitoring","1988-08-17","","Positive Displacement",,,,,,,,,,,
"Dept Water - Pretoria","2526CA00369","Borehole","-25.52893","26.01078","Rainfall Monitoring","1988-08-31","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","2525DB00386","Borehole","-25.52848","25.81094",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00129","Borehole","-25.52809","25.95659","Non Monitoring","1900-01-01","","Mono Type Pump",,,,,,,,,,,
"Dept Water - Pretoria","2526CA00396","Borehole","-25.52726","26.02328","Non Monitoring","1988-08-31","","Mono Type Pump",,,,,,,,,,,
"Dept Water - Pretoria","2526CA00385","Borehole","-25.52698","26.01633","Non Monitoring","1900-01-01","","Mono Type Pump",,,,,,,,,,,
"Dept Water - Pretoria","2526CA00376","Borehole","-25.52698","26.02050","Non Monitoring","1988-08-31","","Positive Displacement",,,,,,,,,,,
"Dept Water - Pretoria","2525DB00127","Borehole","-25.52697","25.95715","Rainfall Monitoring","1988-08-24","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","2525DB00128","Borehole","-25.52697","25.95798","Non Monitoring","1988-08-24","","Mono Type Pump",,,,,,,,,,,
"Dept Water - Pretoria","2526CA00386","Borehole","-25.52615","26.01717","Rainfall Monitoring","1988-08-31","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","2526CA00387","Borehole","-25.52615","26.02272","Rainfall Monitoring","1988-08-31","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","2526CA00113","Borehole","-25.52561","26.04967",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00114","Borehole","-25.52561","26.04968",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00384","Borehole","-25.52560","26.01550","Non Monitoring","1900-01-01","","Positive Displacement",,,,,,,,,,,
"Dept Water - Pretoria","2526CA00377","Borehole","-25.52560","26.01911","Non Monitoring","1900-01-01","","Mono Type Pump",,,,,,,,,,,
"Dept Water - Pretoria","2526CA00747","Borehole","-25.52560","26.04550",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00748","Borehole","-25.52560","26.04551",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00729","Borehole","-25.52560","26.04828",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00112","Borehole","-25.52560","26.04967",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00370","Borehole","-25.52532","26.01355","Non Monitoring","1988-08-31","","Positive Displacement",,,,,,,,,,,
"Dept Water - Pretoria","2526CA00381","Borehole","-25.52532","26.01578","Non Monitoring","1900-01-01","","Positive Displacement",,,,,,,,,,,
"Dept Water - Pretoria","2525DB00115","Borehole","-25.52531","25.97270","Rainfall Monitoring","1988-08-23","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - North West","045366","Borehole","-25.52484","25.91952",,"","",,,,,,,,,,,,
"Dept Water - North West","2525DB00006","Borehole","-25.52473","25.91948","Rainfall Monitoring","1977-02-18","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","2526CA00542","Borehole","-25.52400","26.07873","Non Monitoring","1990-07-10","","Submersible Pump",,,,,,,,,,,
"Dept Water - Pretoria","2526CA00543","Borehole","-25.52330","26.07911","Rainfall Monitoring","1990-07-10","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","2525DB00083","Borehole","-25.52197","25.90742","Non Monitoring","1988-08-18","","Mono Type Pump",,,,,,,,,,,
"Dept Water - Pretoria","2525DB00114","Borehole","-25.52114","25.93965",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00385","Borehole","-25.51922","25.77059",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00570","Borehole","-25.51906","26.03881","Non Monitoring","1990-07-05","","Positive Displacement",,,,,,,,,,,
"Dept Water - Pretoria","2525DB00085","Borehole","-25.51892","25.90992","Non Monitoring","1988-08-18","","Submersible Pump",,,,,,,,,,,
"Dept Water - Pretoria","2526CA00571","Borehole","-25.51851","26.02960","Rainfall Monitoring","1990-07-05","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","2526CA00154","Borehole","-25.51741","26.01634",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00152","Borehole","-25.51740","26.01634",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00150","Borehole","-25.51739","26.01634",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00148","Borehole","-25.51738","26.01634",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00146","Borehole","-25.51737","26.01634",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00144","Borehole","-25.51736","26.01634",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00142","Borehole","-25.51735","26.01634",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00140","Borehole","-25.51734","26.01634",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00138","Borehole","-25.51733","26.01634",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00136","Borehole","-25.51732","26.01634",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00134","Borehole","-25.51731","26.01634",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00132","Borehole","-25.51730","26.01634",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00130","Borehole","-25.51729","26.01634",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00128","Borehole","-25.51728","26.01634",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00127","Borehole","-25.51727","26.01634",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00129","Borehole","-25.51727","26.01635",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00131","Borehole","-25.51727","26.01636",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00133","Borehole","-25.51727","26.01637",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00135","Borehole","-25.51727","26.01638",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00137","Borehole","-25.51727","26.01639",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00139","Borehole","-25.51727","26.01640",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00141","Borehole","-25.51727","26.01641",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00143","Borehole","-25.51727","26.01642",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00145","Borehole","-25.51727","26.01643",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00147","Borehole","-25.51727","26.01644",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00149","Borehole","-25.51727","26.01645",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00151","Borehole","-25.51727","26.01646",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00153","Borehole","-25.51727","26.01647",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00155","Borehole","-25.51727","26.01648",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00080","Borehole","-25.51725","25.90992","Non Monitoring","1900-01-01","","Positive Displacement",,,,,,,,,,,
"Dept Water - Pretoria","2525DB00081","Borehole","-25.51586","25.90881","Non Monitoring","1900-01-01","","Positive Displacement",,,,,,,,,,,
"Dept Water - Pretoria","2525DB00084","Borehole","-25.51586","25.90884","Non Monitoring","1988-08-18","","Positive Displacement",,,,,,,,,,,
"Dept Water - Pretoria","2525DB00126","Borehole","-25.51586","25.96742","Non Monitoring","1988-08-24","","Submersible Pump",,,,,,,,,,,
"Dept Water - Pretoria","2525DB00082","Borehole","-25.51392","25.90798","Rainfall Monitoring","1988-08-18","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","2525DB00132","Borehole","-25.51253","25.96576","Rainfall Monitoring","1988-08-24","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","2525DB00125","Borehole","-25.51253","25.97687","Non Monitoring","1900-01-01","","Mono Type Pump",,,,,,,,,,,
"Dept Water - Pretoria","2525DB00117","Borehole","-25.51225","25.98853",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00118","Borehole","-25.51170","25.98798","Non Monitoring","1988-08-24","","Submersible Pump",,,,,,,,,,,
"Dept Water - North West","045363","Borehole","-25.51150","25.89576","Rainfall Monitoring","1998-08-09","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","2525DB00144","Borehole","-25.51031","25.96967","Non Monitoring","1988-08-24","","Mono Type Pump",,,,,,,,,,,
"Dept Water - Pretoria","2525BD00144","Borehole","-25.50860","25.83243",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00119","Borehole","-25.50781","25.96742","Non Monitoring","1900-01-01","","Mono Type Pump",,,,,,,,,,,
"Dept Water - Pretoria","2525DB00056","Borehole","-25.50753","25.82909","Non Monitoring","1988-08-17","","Positive Displacement",,,,,,,,,,,
"Dept Water - Pretoria","2525DB00120","Borehole","-25.50642","25.96687","Non Monitoring","1900-01-01","","Mono Type Pump",,,,,,,,,,,
"Dept Water - Pretoria","2525DB00113","Borehole","-25.50614","25.93576","Non Monitoring","1988-08-18","","Positive Displacement",,,,,,,,,,,
"Dept Water - Pretoria","2525DB00121","Borehole","-25.50614","25.96742","Non Monitoring","1900-01-01","","Mono Type Pump",,,,,,,,,,,
"Dept Water - Pretoria","2525DB00131","Borehole","-25.50447","25.96076","Rainfall Monitoring","1988-08-24","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","2525DB00124","Borehole","-25.50447","25.96742","Non Monitoring","1900-01-01","","Mono Type Pump",,,,,,,,,,,
"Dept Water - Pretoria","2525DB00384","Borehole","-25.50404","25.83029",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00122","Borehole","-25.50392","25.96742","Non Monitoring","1900-01-01","","Mono Type Pump",,,,,,,,,,,
"Dept Water - North West","045362","Borehole","-25.50366","25.88584","Rainfall Monitoring","1998-08-09","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","2525DA00087","Borehole","-25.50365","25.74576",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00123","Borehole","-25.50336","25.96715","Non Monitoring","1900-01-01","","Mono Type Pump",,,,,,,,,,,
"Dept Water - North West","08-72106","Borehole","-25.50336","25.96767",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DA00085","Borehole","-25.50281","25.74326","Non Monitoring","1997-10-08","","Mono Type Pump",,,,,,,,,,,
"Dept Water - North West","08-72105","Borehole","-25.50227","25.96729",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DA00086","Borehole","-25.50226","25.74326","Non Monitoring","1995-09-20","","Positive Displacement",,,,,,,,,,,
"Dept Water - Pretoria","045364AA","Borehole","-25.50058","25.80770",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00071","Borehole","-25.49984","25.67404",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00056","Borehole","-25.49864","25.73965",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00050","Borehole","-25.49753","25.74521",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00051","Borehole","-25.49726","25.74354",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00061","Borehole","-25.49704","25.73917",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00055","Borehole","-25.49642","25.73965",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00057","Borehole","-25.49639","25.66635",,"","",,,,,,,,,,,,
"Dept Water - North West","08-72077","Borehole","-25.49594","25.92910",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00062","Borehole","-25.49574","25.68118",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","045361","Borehole","-25.49530","25.87495",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00058","Borehole","-25.49499","25.65635",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00059","Borehole","-25.49499","25.68155",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00024","Borehole","-25.49282","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00023","Borehole","-25.49281","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00025","Borehole","-25.49281","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00026","Borehole","-25.49281","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00027","Borehole","-25.49281","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00028","Borehole","-25.49281","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00029","Borehole","-25.49281","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00030","Borehole","-25.49281","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00031","Borehole","-25.49281","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00032","Borehole","-25.49281","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00033","Borehole","-25.49281","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00034","Borehole","-25.49281","25.66632",,"","",,,,,,,,,,,,
"Dept Water - North West","045810","Borehole","-25.48993","25.74899","Rainfall Monitoring","1998-12-09","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - North West","045809","Borehole","-25.48973","25.74932","Rainfall Monitoring","1998-09-10","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - North West","08-72037","Borehole","-25.48559","25.92364",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00010","Borehole","-25.48396","26.03302",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00008","Borehole","-25.48395","26.03301",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00009","Borehole","-25.48395","26.03302",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00014","Borehole","-25.48395","26.03302",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00007","Borehole","-25.48394","26.03301",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00012","Borehole","-25.48394","26.03301",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00013","Borehole","-25.48394","26.03302",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00011","Borehole","-25.48393","26.03301",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00133","Borehole","-25.48392","25.86632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00097","Borehole","-25.48392","25.93299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00098","Borehole","-25.48392","25.93299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00099","Borehole","-25.48392","25.93299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00100","Borehole","-25.48392","25.93299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00101","Borehole","-25.48392","25.93299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00102","Borehole","-25.48392","25.93299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00103","Borehole","-25.48392","25.93299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00126","Borehole","-25.48392","25.94633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00122","Borehole","-25.48392","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00123","Borehole","-25.48392","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00124","Borehole","-25.48392","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00125","Borehole","-25.48392","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00127","Borehole","-25.48392","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00128","Borehole","-25.48392","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00129","Borehole","-25.48392","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00130","Borehole","-25.48392","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00131","Borehole","-25.48392","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00132","Borehole","-25.48392","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00134","Borehole","-25.48392","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00135","Borehole","-25.48392","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00137","Borehole","-25.48392","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00138","Borehole","-25.48392","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00139","Borehole","-25.48392","25.96633",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00183","Borehole","-25.48078","25.78576",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00170","Borehole","-25.48052","25.83299",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00169","Borehole","-25.48050","25.83498",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00168","Borehole","-25.47974","25.81111",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","045360","Borehole","-25.47953","25.85376",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BD00161","Borehole","-25.47740","25.76980","Rainfall Monitoring","1998-09-04","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","020239","Borehole","-25.47448","25.95799",,"","",,,,,,,,,,,,
"Dept Water - North West","08-71229","Borehole","-25.47294","25.79253",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00035","Borehole","-25.46726","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00036","Borehole","-25.46726","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00037","Borehole","-25.46726","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00038","Borehole","-25.46726","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00039","Borehole","-25.46726","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00040","Borehole","-25.46726","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00041","Borehole","-25.46726","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00042","Borehole","-25.46726","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00043","Borehole","-25.46726","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00044","Borehole","-25.46726","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00045","Borehole","-25.46726","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00046","Borehole","-25.46726","25.66632",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00047","Borehole","-25.46726","25.66632",,"","",,,,,,,,,,,,
"Dept Water - North West","2525BD00160","Borehole","-25.46721","25.82178","Rainfall Monitoring","1997-10-30","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - North West","08-71144","Borehole","-25.46718","25.82164",,"","",,,,,,,,,,,,
"Dept Water - North West","045352","Borehole","-25.46717","25.82174","Rainfall Monitoring","2000-05-02","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - North West","045365","Borehole","-25.46508","25.80628","Rainfall Monitoring","1998-08-09","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","045365AA","Borehole","-25.46503","25.80631",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00152","Borehole","-25.46503","25.83048",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","045359A","Borehole","-25.46447","25.80742",,"","",,,,,,,,,,,,
"Dept Water - North West","2525DB00361","Borehole","-25.46438","25.80729","Rainfall Monitoring","1998-09-15","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - North West","2525DB00362","Borehole","-25.46381","25.80807","Rainfall Monitoring","1998-08-09","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - North West","08-71140","Borehole","-25.46334","25.79646",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00039","Borehole","-25.46281","25.76382",,"","",,,,,,,,,,,,
"Dept Water - North West","08-71949","Borehole","-25.46239","25.96861",,"","",,,,,,,,,,,,
"Dept Water - North West","08-71143","Borehole","-25.45906","25.80677",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00199","Spring","-25.45799","25.85265",,"","",,,,,,,,,,,,
