"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","Lithology_DescriptorDesignation","Lithology_DescriptorName","Lithology_EventDate","Lithology_DepthToTop","Lithology_DepthToBottom","Lithology_LithologyName","Lithology_PrimaryColour","Lithology_ColourQualifier","Lithology_SecondaryColour","Lithology_CompositionQualifier","Lithology_FabricQualifier","Lithology_FabricAttribute","Lithology_MaterialType","Lithology_FormationType","Lithology_TextureQualifier","Lithology_HardnessQualifier","Lithology_ParticleShape","Lithology_Sorting","Lithology_BoulderPercentage","Lithology_CobblePercentage","Lithology_PebblePercentage","Lithology_GranulePercentage","Lithology_SandPercentage","Lithology_SiltPercentage","Lithology_ClayPercentage","Lithology_WeatheringDegree","Lithology_FracturingDegree"
"Dept Water - Pretoria","2525BD00128","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1961-04-24","26.21","46.94","Shale",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00128","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1961-04-24","46.94","58.52","Norite",,,,,,,"Consolidated","Igneous",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00129","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1961-06-16","0.00","24.38","Gravel",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00129","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1961-06-16","24.38","79.25","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00129","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1961-06-16","79.25","82.30","Lava",,,,,,,"Consolidated","Igneous",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00129","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1961-06-16","82.30","91.74","Shale",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00129","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1961-06-16","91.74","97.54","Norite",,,,,,,"Consolidated","Igneous",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00130","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1961-07-17","0.00","20.73","Shale",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00130","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1961-07-17","20.73","34.44","Lava",,,,,,,"Consolidated","Igneous",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00130","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1961-07-17","34.44","57.00","Norite",,,,,,,"Consolidated","Igneous",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00131","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1961-08-07","0.00","7.62","Gravel",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00131","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1961-08-07","7.62","56.39","Shale",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00131","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1961-08-07","56.39","66.14","Norite",,,,,,,"Consolidated","Igneous",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00132","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1961-08-24","0.00","6.10","Gravel",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00132","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1961-08-24","6.10","54.86","Clay",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00132","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1961-08-24","54.86","68.58","Norite",,,,,,,"Consolidated","Igneous",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00134","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1966-04-19","0.00","9.14","SOIL",,,,,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00134","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1966-04-19","9.14","64.01","Shale",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00135","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1966-06-02","0.00","39.62","NO SAMPLE",,,,,,,,,,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00135","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1966-06-02","39.62","82.30","NO SAMPLE",,,,,,,,,,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00135","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1966-06-02","82.30","88.39","NO SAMPLE",,,,,,,,,,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00137","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1966-08-11","0.00","29.56","SOIL",,,,,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00137","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1966-08-11","29.56","44.20","Chert",,,,,,,"Consolidated","Sedimentary",,"Hard",,,,,,,,,,,
"Dept Water - Pretoria","2525BD00138","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1969-05-05","0.00","1.22","Tuff","Black",,,,,,"Consolidated","Igneous",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00138","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1969-05-05","1.22","47.55","Shale",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00138","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1969-05-05","47.55","55.47","Dolerite",,,,,,,"Consolidated","Igneous",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00139","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1970-03-11","0.00","0.61","Alluvium",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00139","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1970-03-11","0.61","26.52","Shale",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00139","Borehole","-25.48392","25.96633","Non-Earth Scientist: Driller",,"1970-03-11","26.52","64.31","Shale",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00183","Borehole","-25.48078","25.78576",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00170","Borehole","-25.48052","25.83299","Non-Earth Scientist: Driller",,"1993-11-26","0.00","2.00","SOIL","Brown",,"Reddish",,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00170","Borehole","-25.48052","25.83299","Non-Earth Scientist: Driller",,"1993-11-26","2.00","6.00","Calcrete","White",,,,,"Very","Consolidated","Sedimentary",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2525BD00170","Borehole","-25.48052","25.83299","Non-Earth Scientist: Driller",,"1993-11-26","6.00","9.00","Dolomite","Grey",,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2525BD00170","Borehole","-25.48052","25.83299","Non-Earth Scientist: Driller",,"1993-11-26","9.00","12.00","Dolomite","Grey",,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00170","Borehole","-25.48052","25.83299","Non-Earth Scientist: Driller",,"1993-11-26","12.00","15.00","Dolomite","Grey",,,,,"Slightly","Consolidated","Sedimentary",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2525BD00170","Borehole","-25.48052","25.83299","Non-Earth Scientist: Driller",,"1993-11-26","15.00","22.00","Shale","Red",,"Brownish",,,"Slightly","Consolidated","Sedimentary",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2525BD00170","Borehole","-25.48052","25.83299","Non-Earth Scientist: Driller",,"1993-11-26","22.00","47.00","Dolomite","Grey",,,,,"Slightly","Consolidated","Sedimentary",,,,,,,,,,,,"Highly","Moderately"
"Dept Water - Pretoria","2525BD00170","Borehole","-25.48052","25.83299","Non-Earth Scientist: Driller",,"1993-11-26","47.00","81.00","Dolomite","Grey",,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,"Unweathered",
"Dept Water - Pretoria","2525BD00169","Borehole","-25.48050","25.83498","Non-Earth Scientist: Driller",,"1993-11-11","0.00","1.00","SOIL","Brown",,"Reddish",,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00169","Borehole","-25.48050","25.83498","Non-Earth Scientist: Driller",,"1993-11-11","1.00","7.00","Calcrete","White",,,,,"Very","Consolidated","Sedimentary",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2525BD00169","Borehole","-25.48050","25.83498","Non-Earth Scientist: Driller",,"1993-11-11","7.00","14.00","Dolomite","Grey",,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2525BD00169","Borehole","-25.48050","25.83498","Non-Earth Scientist: Driller",,"1993-11-11","14.00","16.00","Dolomite","Grey",,,,,"Slightly","Consolidated","Sedimentary",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2525BD00169","Borehole","-25.48050","25.83498","Non-Earth Scientist: Driller",,"1993-11-11","16.00","26.00","Dolomite","Black",,,,,"Slightly","Consolidated","Sedimentary",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2525BD00169","Borehole","-25.48050","25.83498","Non-Earth Scientist: Driller",,"1993-11-11","26.00","81.00","Dolomite","Grey",,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,"Unweathered",
"Dept Water - Pretoria","2525BD00168","Borehole","-25.47974","25.81111","Non-Earth Scientist: Driller",,"1993-11-15","0.00","2.00","SOIL","Brown","Dark",,,"Sandy",,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00168","Borehole","-25.47974","25.81111","Non-Earth Scientist: Driller",,"1993-11-15","2.00","8.00","Breccia","Brown",,"Pinkish",,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00168","Borehole","-25.47974","25.81111","Non-Earth Scientist: Driller",,"1993-11-15","8.00","14.00","Breccia","Brown",,,,,"Slightly","Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00168","Borehole","-25.47974","25.81111","Non-Earth Scientist: Driller",,"1993-11-15","14.00","32.00","Breccia",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BD00168","Borehole","-25.47974","25.81111","Non-Earth Scientist: Driller",,"1993-11-15","32.00","81.00","Dolomite","Black",,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,"Unweathered",
"Dept Water - Pretoria","045360","Borehole","-25.47953","25.85376","Non-Earth Scientist: Driller",,"1997-11-13","0.00","4.00","Overburden","Brown","Dark",,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","045360","Borehole","-25.47953","25.85376","Non-Earth Scientist: Driller",,"1997-11-13","4.00","42.00","Dolomite","Blue",,"Greyish",,,,"Consolidated","Sedimentary","Fine to medium",,,,,,,,,,,,
"Dept Water - Pretoria","045360","Borehole","-25.47953","25.85376","Non-Earth Scientist: Driller",,"1997-11-13","42.00","49.00","Dolomite","Grey",,"Bluish",,,,"Consolidated","Sedimentary","Fine to medium",,,,,,,,,,,,
"Dept Water - Pretoria","045360","Borehole","-25.47953","25.85376","Non-Earth Scientist: Driller",,"1997-11-13","49.00","55.00","Dolomite","Brown","Light",,,"Silty",,"Consolidated","Sedimentary","Fine",,,,,,,,,,,,
"Dept Water - Pretoria","045360","Borehole","-25.47953","25.85376","Non-Earth Scientist: Driller",,"1997-11-13","55.00","91.00","Dolomite","Grey","Light",,,"Silty",,"Consolidated","Sedimentary","Coarse",,,,,,,,,,,,
"Dept Water - Pretoria","045360","Borehole","-25.47953","25.85376","Non-Earth Scientist: Driller",,"1997-11-13","91.00","126.00","Dolomite","Blue",,"Greyish",,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - North West","2525BD00161","Borehole","-25.47740","25.76980","Non-Earth Scientist: Driller",,"1998-09-01","0.00","3.00","Overburden","Brown",,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - North West","2525BD00161","Borehole","-25.47740","25.76980","Non-Earth Scientist: Driller",,"1998-09-01","3.00","7.00","Chert","Brown",,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,"Highly",
"Dept Water - North West","2525BD00161","Borehole","-25.47740","25.76980","Non-Earth Scientist: Driller",,"1998-09-01","7.00","12.00","Chert","White",,,,,,"Consolidated","Sedimentary","Coarse",,,,,,,,,,,,
"Dept Water - North West","2525BD00161","Borehole","-25.47740","25.76980","Non-Earth Scientist: Driller",,"1998-09-01","12.00","25.00","Dolomite","White",,,,,,"Consolidated","Sedimentary","Very fine",,,,,,,,,,,,
"Dept Water - North West","2525BD00161","Borehole","-25.47740","25.76980","Non-Earth Scientist: Driller",,"1998-09-01","25.00","30.00","Dolomite","Blue",,"Greyish",,,,"Consolidated","Sedimentary","Fine to medium",,,,,,,,,,,,"Moderately"
"Dept Water - North West","2525BD00161","Borehole","-25.47740","25.76980","Non-Earth Scientist: Driller",,"1998-09-01","30.00","31.00","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - North West","2525BD00161","Borehole","-25.47740","25.76980","Non-Earth Scientist: Driller",,"1998-09-01","31.00","61.00","Chert","Blue",,"Greyish",,,,"Consolidated","Sedimentary","Medium",,,,,,,,,,,,
"Dept Water - North West","2525BD00161","Borehole","-25.47740","25.76980","Non-Earth Scientist: Driller",,"1998-09-01","61.00","78.00","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - North West","2525BD00161","Borehole","-25.47740","25.76980","Non-Earth Scientist: Driller",,"1998-09-01","78.00","79.00","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - North West","2525BD00161","Borehole","-25.47740","25.76980","Non-Earth Scientist: Driller",,"1998-09-01","79.00","83.00","Chert",,,,,,,"Consolidated","Sedimentary","Medium",,,,,,,,,,,,
"Dept Water - North West","2525BD00161","Borehole","-25.47740","25.76980","Non-Earth Scientist: Driller",,"1998-09-01","83.00","120.00","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","020239","Borehole","-25.47448","25.95799","Non-Earth Scientist: Driller",,"1966-06-22","0.00","18.29","SOIL",,,,,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","020239","Borehole","-25.47448","25.95799","Non-Earth Scientist: Driller",,"1966-06-22","18.29","60.05","Norite",,,,,,,"Consolidated","Igneous",,,,,,,,,,,,,
"Dept Water - North West","08-71229","Borehole","-25.47294","25.79253",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00035","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1932-09-01","0.00","0.61","SOIL",,,,,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00035","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1932-09-01","0.61","2.13","Gravel",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00035","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1932-09-01","2.13","4.57","Clay",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00035","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1932-09-01","4.57","30.78","Sandstone",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00035","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1932-09-01","30.78","52.12","Sandstone",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00035","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1932-09-01","52.12","67.06","Quartzite",,,,,,,"Consolidated","Metamorphic",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00036","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-10-06","0.00","2.44","SOIL",,,,,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00036","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-10-06","2.44","30.48","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00037","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-10-28","0.00","2.44","SOIL",,,,,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00037","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-10-28","2.44","7.01","Gravel",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00037","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-10-28","7.01","39.32","Diabase",,,,,,,"Consolidated","Igneous",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2525BC00037","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-10-28","39.32","50.29","Diabase",,,,,,,"Consolidated","Igneous",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00038","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-10-28","0.00","1.22","SOIL",,,,,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00038","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-10-28","1.22","5.18","Gravel",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00038","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-10-28","5.18","33.83","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2525BC00038","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-10-28","33.83","59.44","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00039","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-11-10","0.00","1.22","SOIL",,,,,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00039","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-11-10","1.22","3.05","Gravel",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00039","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-11-10","3.05","38.40","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2525BC00039","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-11-10","38.40","48.16","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00040","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-11-08","0.00","1.22","SOIL",,,,,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00040","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-11-08","1.22","3.66","Gravel",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00040","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-11-08","3.66","34.44","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2525BC00040","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-11-08","34.44","39.62","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00041","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-11-21","0.00","2.44","SOIL",,,,,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00041","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-11-21","2.44","5.49","Gravel",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00041","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-11-21","5.49","53.64","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2525BC00041","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-11-21","53.64","60.96","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00042","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-11-22","0.00","1.22","SOIL",,,,,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00042","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-11-22","1.22","3.66","Gravel",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00042","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-11-22","3.66","57.61","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2525BC00042","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1961-11-22","57.61","68.58","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00043","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1963-01-16","0.00","6.71","Gravel",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00043","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1963-01-16","6.71","11.28","Boulders",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00043","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1963-01-16","11.28","26.52","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00043","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1963-01-16","26.52","39.62","Chert",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00044","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1963-01-29","0.00","15.54","Gravel",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00044","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1963-01-29","15.54","50.29","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00045","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1963-02-19","0.00","4.88","SOIL",,,,,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00045","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1963-02-19","4.88","27.43","Clay",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00045","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1963-02-19","27.43","50.29","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00046","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1963-02-13","0.00","0.91","SOIL",,,,,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00046","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1963-02-13","0.91","25.30","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00046","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1963-02-13","25.30","34.44","Chert",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00047","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1963-03-04","0.00","4.88","SOIL",,,,,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2525BC00047","Borehole","-25.46726","25.66632","Non-Earth Scientist: Driller",,"1963-03-04","4.88","39.62","NO SAMPLE",,,,,,,,,,,,,,,,,,,,,
"Dept Water - North West","2525BD00160","Borehole","-25.46721","25.82178","Non-Earth Scientist: Driller",,"1997-09-15","0.00","20.00","Overburden","Brown","Dark",,,"Silty",,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - North West","2525BD00160","Borehole","-25.46721","25.82178","Non-Earth Scientist: Driller",,"1997-09-15","20.00","24.00","Dolomite","Brown","Dark",,,"Silty",,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - North West","2525BD00160","Borehole","-25.46721","25.82178","Non-Earth Scientist: Driller",,"1997-09-15","24.00","25.00","Dolomite","Grey",,"Bluish",,"Jointed",,"Consolidated","Sedimentary",,,,,,,,,,,,"Highly",
"Dept Water - North West","2525BD00160","Borehole","-25.46721","25.82178","Non-Earth Scientist: Driller",,"1997-09-15","25.00","150.00","Dolomite","Grey",,"Bluish",,,,"Consolidated","Sedimentary",,"Hard",,,,,,,,,,,
"Dept Water - North West","08-71144","Borehole","-25.46718","25.82164",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dept Water - North West","045352","Borehole","-25.46717","25.82174","Non-Earth Scientist: Driller",,"1997-10-01","0.00","2.00","Calcrete","White",,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - North West","045352","Borehole","-25.46717","25.82174","Non-Earth Scientist: Driller",,"1997-10-01","2.00","7.00","Dolomite","Brown","Dark",,,"Gravelly",,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - North West","045352","Borehole","-25.46717","25.82174","Non-Earth Scientist: Driller",,"1997-10-01","7.00","16.00","Dolomite","Grey",,"Bluish",,,,"Consolidated","Sedimentary",,"Hard",,,,,,,,,,,
"Dept Water - North West","045352","Borehole","-25.46717","25.82174","Non-Earth Scientist: Driller",,"1997-10-01","16.00","43.00","Dolomite","Brown","Dark",,,,,"Consolidated","Sedimentary",,"Hard",,,,,,,,,,,
"Dept Water - North West","045352","Borehole","-25.46717","25.82174","Non-Earth Scientist: Driller",,"1997-10-01","43.00","50.00","Dolomite","Grey",,"Bluish",,,,"Consolidated","Sedimentary",,"Hard",,,,,,,,,,,
"Dept Water - North West","045352","Borehole","-25.46717","25.82174","Non-Earth Scientist: Driller",,"1997-10-01","50.00","78.00","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - North West","045365","Borehole","-25.46508","25.80628","Non-Earth Scientist: Driller",,"1998-05-29","0.00","4.00","Overburden","Brown",,"Orange",,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
