"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","OtherNumber_OtherNumberType","OtherNumber_OtherNumber"
"Dept Water - Pretoria","2526CA00111","Borehole","-25.55896","26.06636","NGDB-Number","2526CA00111"
"Dept Water - Pretoria","2526CA00109","Borehole","-25.55895","26.06635","Boring Branch Number","062497"
"Dept Water - Pretoria","2526CA00109","Borehole","-25.55895","26.06635","NGDB-Number","2526CA00109"
"Dept Water - Pretoria","2526CA00110","Borehole","-25.55895","26.06636","Boring Branch Number","063703"
"Dept Water - Pretoria","2526CA00110","Borehole","-25.55895","26.06636","NGDB-Number","2526CA00110"
"Dept Water - Pretoria","2526CA00018","Borehole","-25.55894","26.02467","Boring Branch Number","097198"
"Dept Water - Pretoria","2526CA00018","Borehole","-25.55894","26.02467","NGDB-Number","2526CA00018"
"Dept Water - Pretoria","2526CA00019","Borehole","-25.55894","26.02468","Boring Branch Number","098888"
"Dept Water - Pretoria","2526CA00019","Borehole","-25.55894","26.02468","NGDB-Number","2526CA00019"
"Dept Water - Pretoria","2526CA00107","Borehole","-25.55894","26.06634","Boring Branch Number","001390"
"Dept Water - Pretoria","2526CA00107","Borehole","-25.55894","26.06634","NGDB-Number","2526CA00107"
"Dept Water - Pretoria","2526CA00108","Borehole","-25.55894","26.06635","Boring Branch Number","001423"
"Dept Water - Pretoria","2526CA00108","Borehole","-25.55894","26.06635","NGDB-Number","2526CA00108"
"Dept Water - Pretoria","2526CA00017","Borehole","-25.55893","26.02467","Boring Branch Number","097119"
"Dept Water - Pretoria","2526CA00017","Borehole","-25.55893","26.02467","NGDB-Number","2526CA00017"
"Dept Water - Pretoria","2526CA00106","Borehole","-25.55893","26.06634","Boring Branch Number","001326"
"Dept Water - Pretoria","2526CA00106","Borehole","-25.55893","26.06634","NGDB-Number","2526CA00106"
"Dept Water - Pretoria","2525DA00099","Borehole","-25.55864","25.70497","NGDB-Number","2525DA00099"
"Dept Water - Pretoria","2525DA00099","Borehole","-25.55864","25.70497","Regional Borehole Number","B0974425"
"Dept Water - North West","2525DB00376","Borehole","-25.55856","25.76156","G-Number","047426"
"Dept Water - North West","2525DB00376","Borehole","-25.55856","25.76156","Hydrological Station Number","D4N2626"
"Dept Water - North West","2525DB00376","Borehole","-25.55856","25.76156","Monitoring Feature ID","184126"
"Dept Water - North West","2525DB00376","Borehole","-25.55856","25.76156","NGDB-Number","2525DB00376"
"Dept Water - Pretoria","2526CA00497","Borehole","-25.55807","26.04041","Department of Water Affairs and Forestry Number","MP12"
"Dept Water - Pretoria","2526CA00497","Borehole","-25.55807","26.04041","NGDB-Number","2526CA00497"
"Dept Water - North West","045804","Borehole","-25.55781","25.89303","G-Number","045804"
