"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","DepthDiameter_MeasurementDate","DepthDiameter_DepthToBottom","DepthDiameter_DepthQualifier","DepthDiameter_Diameter"
"Dept Water - Pretoria","2526CA00503","Borehole","-25.55438","26.06359","1900-01-01","45.50","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00507","Dug Well","-25.55338","26.04883","",,,""
"Dept Water - Pretoria","2526CA00502","Borehole","-25.55256","26.05975","1900-01-01","9999.99","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00506","Borehole","-25.55249","26.06199","1990-07-05","9999.99","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00501","Borehole","-25.55188","26.05973","1990-07-05","9999.99","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00528","Borehole","-25.55176","26.03181","1990-07-04","24.38","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00529","Borehole","-25.55151","26.03237","1990-07-04","36.58","Measured during Construction","152 mm (6.0")"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516","1977-01","71.00",,"203 mm (8.0")"
"Dept Water - Pretoria","2525DB00353","Borehole","-25.55087","25.86382","1994-10-01","61.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DB00209","Borehole","-25.55077","25.76649","",,,""
"Dept Water - Pretoria","2525DB00269","Borehole","-25.55077","25.76649","1909-07-28","22.86","Measured during Construction","203 mm (8.0")"
"Dept Water - Pretoria","2525DB00301","Borehole","-25.55076","25.76648","1970-03-21","83.82","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DB00302","Borehole","-25.55076","25.76649","1970-05-08","80.77","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DB00299","Borehole","-25.55075","25.76647","",,,""
"Dept Water - Pretoria","2525DB00300","Borehole","-25.55075","25.76648","1966-04-22","66.14","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DB00297","Borehole","-25.55074","25.76646","",,,""
"Dept Water - Pretoria","2525DB00298","Borehole","-25.55074","25.76647","",,,""
"Dept Water - Pretoria","2525DB00295","Borehole","-25.55073","25.76645","",,,""
"Dept Water - Pretoria","2525DB00296","Borehole","-25.55073","25.76646","",,,""
"Dept Water - Pretoria","2525DB00293","Borehole","-25.55072","25.76644","",,,""
"Dept Water - Pretoria","2525DB00294","Borehole","-25.55072","25.76645","",,,""
"Dept Water - Pretoria","2525DB00291","Borehole","-25.55071","25.76643","",,,""
"Dept Water - Pretoria","2525DB00292","Borehole","-25.55071","25.76644","",,,""
"Dept Water - Pretoria","2525DB00289","Borehole","-25.55070","25.76636","",,,""
"Dept Water - Pretoria","2525DB00290","Borehole","-25.55070","25.76643","",,,""
"Dept Water - Pretoria","2525DB00287","Borehole","-25.55069","25.76641","1958-03-14","37.19","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DB00288","Borehole","-25.55069","25.76642","1958-03-29","38.40","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DA00053","Borehole","-25.55068","25.71640","1965-05-20","64.62","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DB00286","Borehole","-25.55068","25.76641","1958-02-22","46.33","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DA00052","Borehole","-25.55067","25.71640","",,,""
