"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","DepthDiameter_MeasurementDate","DepthDiameter_DepthToBottom","DepthDiameter_DepthQualifier","DepthDiameter_Diameter"
"Dept Water - Pretoria","2525BD00124","Borehole","-25.48392","25.96633","1958-07-10","29.87","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00125","Borehole","-25.48392","25.96633","1958-08-05","45.11","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00127","Borehole","-25.48392","25.96633","1961-03-11","36.88","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00128","Borehole","-25.48392","25.96633","1961-04-24","58.52","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00129","Borehole","-25.48392","25.96633","",,,""
"Dept Water - Pretoria","2525BD00130","Borehole","-25.48392","25.96633","1961-07-17","57.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00131","Borehole","-25.48392","25.96633","1961-08-07","66.14","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00132","Borehole","-25.48392","25.96633","1961-08-24","68.58","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00134","Borehole","-25.48392","25.96633","1966-04-19","64.01","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00135","Borehole","-25.48392","25.96633","1966-06-02","88.39","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00137","Borehole","-25.48392","25.96633","1966-08-11","44.20","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00138","Borehole","-25.48392","25.96633","1969-05-05","55.47","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00139","Borehole","-25.48392","25.96633","1970-03-11","64.31","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00183","Borehole","-25.48078","25.78576","1993-10-01","74.68","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00170","Borehole","-25.48052","25.83299","1993-11-26","81.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525BD00169","Borehole","-25.48050","25.83498","1993-11-11","81.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525BD00168","Borehole","-25.47974","25.81111","1993-11-15","81.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","045360","Borehole","-25.47953","25.85376","1997-11-13","126.00","Measured during Construction","250 mm (10.0")"
"Dept Water - North West","2525BD00161","Borehole","-25.47740","25.76980","1998-09-01","120.00","Measured during Construction",""
"Dept Water - Pretoria","020239","Borehole","-25.47448","25.95799","1966-06-22","60.05","Measured during Construction","152 mm (6.0")"
"Dept Water - North West","08-71229","Borehole","-25.47294","25.79253","","50.00","Measured during Construction","152 mm (6.0")"
"Dept Water - North West","08-71229","Borehole","-25.47294","25.79253","","6.50","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00035","Borehole","-25.46726","25.66632","1932-09-01","67.36","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00036","Borehole","-25.46726","25.66632","1961-10-06","30.48","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00037","Borehole","-25.46726","25.66632","",,,""
"Dept Water - Pretoria","2525BC00038","Borehole","-25.46726","25.66632","1961-10-28","59.44","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00039","Borehole","-25.46726","25.66632","1961-11-10","48.16","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00040","Borehole","-25.46726","25.66632","1961-11-08","39.62","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00041","Borehole","-25.46726","25.66632","1961-11-21","60.96","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00042","Borehole","-25.46726","25.66632","1961-11-22","68.58","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00043","Borehole","-25.46726","25.66632","1963-01-16","39.62","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00044","Borehole","-25.46726","25.66632","1963-01-29","50.29","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00045","Borehole","-25.46726","25.66632","1963-02-19","50.29","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00046","Borehole","-25.46726","25.66632","1963-02-13","34.44","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00047","Borehole","-25.46726","25.66632","1963-03-04","39.62","Measured during Construction","152 mm (6.0")"
"Dept Water - North West","2525BD00160","Borehole","-25.46721","25.82178","1997-09-15","150.00","Measured during Construction","165 mm (6.5")"
"Dept Water - North West","08-71144","Borehole","-25.46718","25.82164","",,,""
"Dept Water - North West","045352","Borehole","-25.46717","25.82174","1997-10-01","78.00","Measured during Construction","219 mm (8.75")"
"Dept Water - North West","045365","Borehole","-25.46508","25.80628","1998-05-29","153.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","045365AA","Borehole","-25.46503","25.80631","",,,""
"Dept Water - Pretoria","2525BD00152","Borehole","-25.46503","25.83048","1994-12-03","154.00","Measured during Construction","203 mm (8.0")"
"Dept Water - Pretoria","045359A","Borehole","-25.46447","25.80742","",,,""
"Dept Water - North West","2525DB00361","Borehole","-25.46438","25.80729","1997-11-10","126.00","Measured during Construction","250 mm (10.0")"
"Dept Water - North West","2525DB00362","Borehole","-25.46381","25.80807","1998-05-25","150.00","Measured during Construction","165 mm (6.5")"
"Dept Water - North West","08-71140","Borehole","-25.46334","25.79646","",,,""
"Dept Water - Pretoria","2525BD00039","Borehole","-25.46281","25.76382","",,,""
"Dept Water - North West","08-71949","Borehole","-25.46239","25.96861","",,,""
"Dept Water - North West","08-71143","Borehole","-25.45906","25.80677","",,,""
"Dept Water - Pretoria","2525BD00199","Spring","-25.45799","25.85265","",,,""
"Dept Water - North West","08-71139","Borehole","-25.45370","25.78527","",,,""
"Dept Water - Pretoria","2526AC00254","Borehole","-25.45060","26.08300","1939-11-30","66.45","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526AC00255","Borehole","-25.45060","26.08301","1972-05-08","44.30","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00024","Borehole","-25.45059","25.88299","1939-08-23","62.48","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00025","Borehole","-25.45059","25.88299","1939-09-16","46.63","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00026","Borehole","-25.45059","25.88299","1939-10-30","60.96","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00027","Borehole","-25.45059","25.88299","1939-12-28","60.96","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00028","Borehole","-25.45059","25.88299","1940-02-20","67.67","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00029","Borehole","-25.45059","25.88299","1940-05-04","15.24","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2525BD00030","Borehole","-25.45059","25.88299","1940-06-15","54.86","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00031","Borehole","-25.45059","25.88299","1950-05-04","76.20","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2525BD00032","Borehole","-25.45059","25.88299","1951-02-09","27.74","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00033","Borehole","-25.45059","25.88299","1953-05-28","76.20","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2525BD00034","Borehole","-25.45059","25.88299","1953-06-25","63.70","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00035","Borehole","-25.45059","25.88299","1953-08-05","76.20","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00036","Borehole","-25.45059","25.88299","1953-08-19","76.20","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00038","Borehole","-25.45059","25.88299","1953-09-01","21.64","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00040","Borehole","-25.45059","25.88299","1961-08-24","48.46","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00041","Borehole","-25.45059","25.88299","1962-08-13","59.44","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00042","Borehole","-25.45059","25.88299","1962-08-27","33.22","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00043","Borehole","-25.45059","25.88299","1962-09-07","37.19","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00044","Borehole","-25.45059","25.88299","1962-10-01","67.97","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00045","Borehole","-25.45059","25.88299","1962-10-09","39.62","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00046","Borehole","-25.45059","25.88299","1962-10-17","53.64","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00047","Borehole","-25.45059","25.88299","1962-10-30","41.76","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00048","Borehole","-25.45059","25.88299","1962-11-13","37.18","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00049","Borehole","-25.45059","25.88299","1962-11-10","72.24","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00050","Borehole","-25.45059","25.88299","1962-11-20","38.71","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00051","Borehole","-25.45059","25.88299","1962-11-27","35.97","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00052","Borehole","-25.45059","25.88299","1962-11-28","60.96","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00053","Borehole","-25.45059","25.88299","1962-12-13","42.06","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00054","Borehole","-25.45059","25.88299","",,,""
"Dept Water - Pretoria","2525BD00055","Borehole","-25.45059","25.88299","1962-12-19","35.97","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00056","Borehole","-25.45059","25.88299","1962-12-22","42.98","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2525BD00057","Borehole","-25.45059","25.88299","1963-08-16","58.83","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00058","Borehole","-25.45059","25.88299","1963-09-03","56.39","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00059","Borehole","-25.45059","25.88299","1963-10-03","121.92","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00060","Borehole","-25.45059","25.88299","1963-10-17","62.18","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00061","Borehole","-25.45059","25.88299","1963-10-17","65.53","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2525BD00062","Borehole","-25.45059","25.88299","1963-10-24","48.77","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00063","Borehole","-25.45059","25.88299","1963-10-31","43.28","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00064","Borehole","-25.45059","25.88299","1963-10-31","64.62","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00065","Borehole","-25.45059","25.88299","1963-11-19","62.48","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00066","Borehole","-25.45059","25.88299","1964-01-17","86.87","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00067","Borehole","-25.45059","25.88299","1965-01-29","92.96","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00068","Borehole","-25.45059","25.88299","1965-02-06","39.93","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00069","Borehole","-25.45059","25.88299","1965-02-17","43.28","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00070","Borehole","-25.45059","25.88299","1965-02-25","44.20","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2525BD00071","Borehole","-25.45059","25.88299","1965-03-08","55.47","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00072","Borehole","-25.45059","25.88299","1965-06-02","98.45","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00073","Borehole","-25.45059","25.88299","1965-06-22","89.92","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00074","Borehole","-25.45059","25.88299","1965-07-23","59.44","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00075","Borehole","-25.45059","25.88299","1966-09-02","71.63","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00076","Borehole","-25.45059","25.88299","1970-03-02","46.94","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00077","Borehole","-25.45059","25.88299","1963-11-28","71.63","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00143","Borehole","-25.44976","25.79187","","6.50","Measured during Construction","203 mm (8.0")"
"Dept Water - Pretoria","2525BD00143","Borehole","-25.44976","25.79187","","60.00","Measured during Construction","152 mm (6.0")"
"Dept Water - North West","08-72018","Borehole","-25.44853","25.70875","",,,""
"Dept Water - North West","08-71236","Borehole","-25.44836","25.79197","",,,""
"Dept Water - North West","21-00123","Borehole","-25.44634","25.89235","",,,""
"Dept Water - North West","08-71386","Borehole","-25.44615","25.96787","",,,""
"Dept Water - Pretoria","2525BD00164","Borehole","-25.44539","25.82356","1993-11-09","51.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525BD00198","Spring","-25.44499","25.86175","",,,""
"Dept Water - North West","DK9E","Borehole","-25.44361","25.79197","",,,""
"Dept Water - Pretoria","2525BD00184","Borehole","-25.44246","25.96742","1993-06-17","111.00","Measured during Construction","165 mm (6.5")"
"Dept Water - North West","2526CA00351","Borehole","-25.44208","25.76031","1900-01-01","50.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00142","Borehole","-25.44156","25.77437","","55.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00142","Borehole","-25.44156","25.77437","","6.50","Measured during Construction","203 mm (8.0")"
"Dept Water - North West","08-71233","Borehole","-25.44153","25.77575","",,,""
"Dept Water - North West","08-71138","Borehole","-25.44153","25.78028","",,,""
"Dept Water - North West","08-71137","Borehole","-25.43931","25.77519","",,,""
"Dept Water - Pretoria","2525BD00171","Borehole","-25.43824","25.84135","1993-11-10","111.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525BD00141","Borehole","-25.43740","25.75771","","31.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00141","Borehole","-25.43740","25.75771","","6.50","Measured during Construction","203 mm (8.0")"
"Dept Water - North West","21-00124","Borehole","-25.43536","25.83693","",,,""
"Dept Water - Pretoria","2526AC00328","Borehole","-25.43403","26.03300","1992-10-09","108.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526AC00325","Borehole","-25.43402","26.03300","1992-10-16","162.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526AC00280","Borehole","-25.43401","26.03300","1988-06-27","100.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526AC00278","Borehole","-25.43400","26.03300","1988-06-24","104.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526AC00276","Borehole","-25.43399","26.03300","1963-08-05","45.72","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526AC00274","Borehole","-25.43398","26.03300","1958-07-09","64.31","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526AC00239","Borehole","-25.43397","26.03300","1988-06-25","100.00","Measured during Construction","203 mm (8.0")"
"Dept Water - Pretoria","2526AC00237","Borehole","-25.43396","26.03300","1988-06-21","126.00","Measured during Construction","203 mm (8.0")"
"Dept Water - Pretoria","2526AC00233","Borehole","-25.43394","26.03300","1960-07-15","44.80","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526AC00232","Borehole","-25.43393","26.03300","1958-08-21","29.26","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526AC00234","Borehole","-25.43393","26.03301","1960-09-01","42.67","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526AC00236","Borehole","-25.43393","26.03302","1968-04-03","66.14","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526AC00238","Borehole","-25.43393","26.03303","1988-06-24","104.00","Measured during Construction","203 mm (8.0")"
"Dept Water - Pretoria","2526AC00240","Borehole","-25.43393","26.03304","1988-06-27","100.00","Measured during Construction","203 mm (8.0")"
"Dept Water - Pretoria","2526AC00275","Borehole","-25.43393","26.03305","1958-08-05","53.34","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526AC00277","Borehole","-25.43393","26.03306","1988-06-21","126.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526AC00279","Borehole","-25.43393","26.03307","1988-06-25","100.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526AC00299","Borehole","-25.43393","26.03308","1992-10-20","163.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526AC00327","Borehole","-25.43393","26.03309","1992-10-14","130.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525BC00001","Borehole","-25.43392","25.68298","1961-12-05","60.05","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00002","Borehole","-25.43392","25.68298","1961-12-05","58.52","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00003","Borehole","-25.43392","25.68298","1961-12-19","25.91","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00004","Borehole","-25.43392","25.68298","1961-12-19","56.39","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00005","Borehole","-25.43392","25.68298","1962-01-16","83.82","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00006","Borehole","-25.43392","25.68298","1963-02-12","61.87","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00007","Borehole","-25.43392","25.68298","1963-02-21","60.05","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00008","Borehole","-25.43392","25.68298","1963-02-21","61.87","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00009","Borehole","-25.43392","25.68298","1963-03-11","53.34","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00010","Borehole","-25.43392","25.68298","",,,""
"Dept Water - Pretoria","2525BC00011","Borehole","-25.43392","25.68298","1963-03-27","65.53","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00012","Borehole","-25.43392","25.68298","",,,""
"Dept Water - Pretoria","2525BC00013","Borehole","-25.43392","25.68298","1963-04-17","68.58","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BC00014","Borehole","-25.43392","25.68298","",,,""
"Dept Water - Pretoria","2525BC00015","Borehole","-25.43392","25.68298","1963-05-03","53.95","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2525BC00016","Borehole","-25.43392","25.68298","1963-05-03","41.15","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2525BC00017","Borehole","-25.43392","25.68298","1963-05-16","52.12","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2525BC00018","Borehole","-25.43392","25.68298","1963-05-24","55.78","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2525BC00019","Borehole","-25.43392","25.68298","1963-05-27","45.72","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2525BC00020","Borehole","-25.43392","25.68298","1963-06-07","56.08","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2525BC00021","Borehole","-25.43392","25.68298","1966-09-02","53.64","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2525BC00022","Borehole","-25.43392","25.68298","1966-11-28","67.36","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2525BD00149","Borehole","-25.43087","25.77701","1994-11-01","106.00","Measured during Construction","203 mm (8.0")"
"Dept Water - Pretoria","2525BD00148","Borehole","-25.43045","25.78159","1994-11-01","101.00","Measured during Construction","254 mm (10.0")"
"Dept Water - North West","08-71501","Borehole","-25.42971","25.77497","",,,""
"Dept Water - North West","08-71500","Borehole","-25.42883","25.77929","",,,""
"Dept Water - Pretoria","2525BD00147","Borehole","-25.42698","25.77701","1994-10-20","148.00","Measured during Construction","203 mm (8.0")"
"Dept Water - Pretoria","2525BD00151","Borehole","-25.42670","25.76187","1994-11-10","106.00","Measured during Construction","203 mm (8.0")"
"Dept Water - Pretoria","2525BD00185","Borehole","-25.42615","25.96743","1993-06-14","121.00","Measured during Construction","165 mm (6.5")"
"Dept Water - North West","08-71494","Borehole","-25.42584","25.77418","",,,""
"Dept Water - Pretoria","2526AC00333","Borehole","-25.42477","26.08189","1994-03-03","36.00","Measured during Construction","165 mm (6.5")"
"Dept Water - North West","08-71503","Borehole","-25.42460","25.76058","",,,""
"Dept Water - North West","2525BCE0010","Borehole","-25.42407","25.75688","",,,""
"Dept Water - Pretoria","2525BD00150","Borehole","-25.42309","25.78576","1994-11-07","154.00","Measured during Construction","254 mm (10.0")"
"Dept Water - North West","08-71502","Borehole","-25.42200","25.77969","",,,""
"Dept Water - Pretoria","2525BD00015","Borehole","-25.41726","25.96633","1962-08-23","39.32","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00016","Borehole","-25.41726","25.96633","1962-09-22","60.35","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00017","Borehole","-25.41726","25.96633","1962-10-18","42.67","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00018","Borehole","-25.41726","25.96633","1962-11-08","37.49","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00019","Borehole","-25.41726","25.96633","1962-11-20","42.98","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00020","Borehole","-25.41726","25.96633","1964-01-05","83.82","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00021","Borehole","-25.41726","25.96633","1964-02-22","56.08","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00022","Borehole","-25.41726","25.96633","1964-04-07","94.49","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525BD00023","Borehole","-25.41726","25.96633","1966-11-30","67.36","Measured during Construction","152 mm (6.0")"
"Dept Water - North West","2525BC00054","Borehole","-25.41003","25.74909","1994-11-30","154.00","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2525BD00167","Borehole","-25.40735","25.87495","1993-11-19","41.00","Measured during Construction","219 mm (8.75")"
"Dept Water - North West","08-71506","Borehole","-25.40698","25.74811","",,,""
"Dept Water - North West","2525BCV0026","Borehole","-25.40649","25.72660","",,,""
"Dept Water - North West","2525BCV0018","Borehole","-25.40591","25.72700","",,,""
"Dept Water - Pretoria","2525BC00072","Borehole","-25.40525","25.72713","1992-09-01","57.90","Measured during Construction","152 mm (6.0")"
"Dept Water - North West","2525BCE0053","Borehole","-25.40519","25.74247","",,,""
"Dept Water - North West","2525BC00052","Borehole","-25.40503","25.74548","1994-12-03","112.00","Measured during Construction","254 mm (10.0")"
"Dept Water - North West","2525BCE0005","Borehole","-25.40401","25.74386","",,,""
"Dept Water - North West","2525BC00053","Borehole","-25.40392","25.74743","1994-12-07","150.00","Measured during Construction","203 mm (8.0")"
"Dept Water - North West","21-00164","Borehole","-25.40385","26.07968","",,,""
"Dept Water - North West","08-71477","Borehole","-25.40356","25.74431","",,,""
"Dept Water - North West","2525BCE0054","Borehole","-25.40345","25.27000","",,,""
"Dept Water - North West","08-71504","Borehole","-25.40303","25.74388","",,,""
"Dept Water - Pretoria","2526AC00375","Borehole","-25.40240","26.08290","1992-03-11","38.00","Measured during Construction","305 mm (12.0")"
"Dept Water - Pretoria","2526AC00375","Borehole","-25.40240","26.08290","1992-03-11","56.00","Measured during Construction","165 mm (6.5")"
"Dept Water - North West","08-00178","Borehole","-25.40084","26.07790","",,,""
"Dept Water - North West","21-00177","Borehole","-25.40083","26.07792","",,,""
"Dept Water - North West","2525BCV0021","Borehole","-25.39987","25.70279","",,,""
"Dept Water - North West","2525BCV0023","Borehole","-25.39847","25.64267","",,,""
"Dept Water - Pretoria","2525BD00037","Borehole","-25.39781","25.88493","1995-02-21","72.00","Measured during Construction","165 mm (6.5")"
"Dept Water - North West","2525BDE0223","Borehole","-25.39750","25.78600","",,,""
"Dept Water - Pretoria","2525BD00156","Borehole","-25.39029","25.87685","1998-02-24","60.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525BD00186","Borehole","-25.38957","25.94489","1992-09-01","55.30","Measured during Construction","152 mm (6.0")"
"Dept Water - North West","2525BCV0020","Borehole","-25.38871","25.71677","",,,""
"Dept Water - Pretoria","2526AC00349","Borehole","-25.38727","26.07495","1996-01-15","121.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526AC00346","Borehole","-25.38532","26.07689","","41.70","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526AC00346","Borehole","-25.38532","26.07689","","6.50","Measured during Construction","219 mm (8.75")"
"Dept Water - North West","21-00156","Borehole","-25.38517","26.07994","",,,""
"Dept Water - Pretoria","2526AC00245","Borehole","-25.38394","26.04967","1963-09-26","21.28","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526AC00243","Borehole","-25.38393","26.04967","1961-03-22","50.29","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526AC00244","Borehole","-25.38393","26.04968","1963-07-10","49.07","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526AC00336","Borehole","-25.38227","26.06550","1994-10-01","48.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525BD00181","Borehole","-25.38210","25.94881","1994-09-05","105.00","Measured during Construction","165 mm (6.5")"
"Dept Water - North West","21-00163","Borehole","-25.38187","26.07546","",,,""
"Dept Water - Pretoria","2525BD00180","Borehole","-25.38181","25.99252","1994-09-05","85.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526AC00337","Borehole","-25.38171","26.06578","1994-10-01","120.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526AC00348","Borehole","-25.38171","26.07300","1995-11-14","66.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525BD00157","Borehole","-25.37979","25.87795","1998-02-20","84.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526AC00343","Borehole","-25.37949","26.08189","","45.90","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526AC00343","Borehole","-25.37949","26.08189","","6.50","Measured during Construction","219 mm (8.75")"
"Dept Water - Pretoria","2525BD00154","Borehole","-25.37365","25.97659","1998-02-25","121.00","Measured during Construction","165 mm (6.5")"
"Dept Water - North West","2525BCE0025","Borehole","-25.37122","25.72017","",,,""
"Dept Water - North West","2525BCV0017","Borehole","-25.36683","25.72739","",,,""
"Dept Water - North West","2525BCE0022","Borehole","-25.36576","25.72882","",,,""
"Dept Water - Pretoria","2525BD00155","Borehole","-25.36479","25.95185","1998-02-21","111.00","Measured during Construction","165 mm (6.5")"
"Dept Water - North West","2525BDE1224","Borehole","-25.36107","25.76421","",,,""
